Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2022-01,30,346.1611024110316,8.319710650321055,"['AMAR.JK', 'BBYB.JK', 'MSIN.JK']","[0.1, 0.0, 0.9]","AMAR.JK: 0.10%, BBYB.JK: 0.00%, MSIN.JK: 0.90%"
2022-02,30,758.5117378280563,10.563659397838475,"['ADMR.JK', 'BBSI.JK']","[0.9, 0.1]","ADMR.JK: 0.90%, BBSI.JK: 0.10%"
2022-03,30,382.6097215667768,10.753300267725303,"['BABP.JK', 'BCAP.JK']","[0.1, 0.9]","BABP.JK: 0.10%, BCAP.JK: 0.90%"
2022-04,30,156.40631163708088,7.024711960484548,"['BNGA.JK', 'UFOE.JK']","[0.1, 0.9]","BNGA.JK: 0.10%, UFOE.JK: 0.90%"
2022-05,30,350.6780962202952,10.53766299649975,"['BBHI.JK', 'PNBN.JK', 'WIRG.JK']","[0.0, 0.1, 0.9]","BBHI.JK: 0.00%, PNBN.JK: 0.10%, WIRG.JK: 0.90%"
2022-06,30,401.85511758413264,8.477472178905407,"['BELL.JK', 'PNBN.JK']","[0.9, 0.1]","BELL.JK: 0.90%, PNBN.JK: 0.10%"
2022-07,30,205.07306509736503,9.232306991748732,"['BMSR.JK', 'PNBN.JK']","[0.9, 0.1]","BMSR.JK: 0.90%, PNBN.JK: 0.10%"
2022-08,30,141.49458001917483,6.655716810520011,"['BBYB.JK', 'BNBA.JK', 'PANI.JK']","[0.1, 0.0, 0.9]","BBYB.JK: 0.10%, BNBA.JK: 0.00%, PANI.JK: 0.90%"
2022-09,30,150.2393190736749,7.029293306712423,"['HATM.JK', 'NOBU.JK']","[0.9, 0.1]","HATM.JK: 0.90%, NOBU.JK: 0.10%"
2022-10,30,204.6078415573222,11.230341147194121,"['BBSI.JK', 'COAL.JK', 'MEGA.JK']","[0.0, 0.9, 0.1]","BBSI.JK: 0.00%, COAL.JK: 0.90%, MEGA.JK: 0.10%"
2022-11,30,235.51805993231415,10.253633426594945,"['AMAR.JK', 'BDMN.JK', 'SRAJ.JK']","[0.1, 0.0, 0.9]","AMAR.JK: 0.10%, BDMN.JK: 0.00%, SRAJ.JK: 0.90%"
2022-12,30,367.03491235899645,7.725273730430689,"['AMAR.JK', 'BSIM.JK', 'SRAJ.JK']","[0.0, 0.1, 0.9]","AMAR.JK: 0.00%, BSIM.JK: 0.10%, SRAJ.JK: 0.90%"
