Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2022-01,60,421.77525832376574,8.49649337106848,"['BNBA.JK', 'PANI.JK']","[0.1, 0.9]","BNBA.JK: 0.10%, PANI.JK: 0.90%"
2022-02,60,762.4242424242425,8.338021992995962,"['ADMR.JK', 'AMAR.JK']","[0.9, 0.1]","ADMR.JK: 0.90%, AMAR.JK: 0.10%"
2022-03,60,812.1004491486062,7.601109478818591,"['BBSI.JK', 'MEGA.JK', 'MSIN.JK']","[0.1, 0.0, 0.9]","BBSI.JK: 0.10%, MEGA.JK: 0.00%, MSIN.JK: 0.90%"
2022-04,60,1044.5473378170236,8.323867778490763,"['ADMR.JK', 'BBHI.JK', 'BBNI.JK', 'BBSI.JK']","[0.9, 0.0, 0.0, 0.1]","ADMR.JK: 0.90%, BBHI.JK: 0.00%, BBNI.JK: 0.00%, BBSI.JK: 0.10%"
2022-05,60,351.61014432499854,7.774142596970905,"['PNBN.JK', 'WIRG.JK']","[0.1, 0.9]","PNBN.JK: 0.10%, WIRG.JK: 0.90%"
2022-06,60,340.0352760736196,7.6389119923836315,"['BELL.JK', 'PNBN.JK']","[0.9, 0.1]","BELL.JK: 0.90%, PNBN.JK: 0.10%"
2022-07,60,820.4848484848485,7.589944625124467,"['BELL.JK', 'PNBN.JK']","[0.9, 0.1]","BELL.JK: 0.90%, PNBN.JK: 0.10%"
2022-08,60,395.6829355770546,5.800174723470824,"['PNBN.JK', 'RAJA.JK']","[0.1, 0.9]","PNBN.JK: 0.10%, RAJA.JK: 0.90%"
2022-09,60,175.5394916431641,6.991157831831105,"['OKAS.JK', 'PNBN.JK']","[0.9, 0.1]","OKAS.JK: 0.90%, PNBN.JK: 0.10%"
2022-10,60,237.19885958660012,8.334200820343206,"['BMRI.JK', 'PICO.JK']","[0.1, 0.9]","BMRI.JK: 0.10%, PICO.JK: 0.90%"
2022-11,60,224.2044085727607,4.155054862987353,"['BDMN.JK', 'ETWA.JK', 'PNBN.JK']","[0.0, 0.9, 0.1]","BDMN.JK: 0.00%, ETWA.JK: 0.90%, PNBN.JK: 0.10%"
2022-12,60,297.9431524547804,9.575524005812367,"['AMAR.JK', 'SINI.JK']","[0.1, 0.9]","AMAR.JK: 0.10%, SINI.JK: 0.90%"
