Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2022-01,365,7656.034065934066,5.535398325579091,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2022-02,365,7876.15925058548,5.609012943343305,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2022-03,365,7909.990900818926,5.629375203779693,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2022-04,365,7662.563025210085,5.625737956421208,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2022-05,365,6821.221532091097,5.646298672569377,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2022-06,365,6070.47619047619,5.61621496544173,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2022-07,365,6337.769784172662,5.564103529387003,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2022-08,365,9529.214741414416,6.542739660708671,"['BANK.JK', 'PANI.JK']","[0.1, 0.9]","BANK.JK: 0.10%, PANI.JK: 0.90%"
2022-09,365,2973.0365296803657,6.844915835048232,"['BEBS.JK', 'BINA.JK']","[0.9, 0.1]","BEBS.JK: 0.90%, BINA.JK: 0.10%"
2022-10,365,3028.960044693978,19.99999771568863,"['BINA.JK', 'BYAN.JK', 'MSIN.JK']","[0.1, 0.77, 0.13]","BINA.JK: 0.10%, BYAN.JK: 0.77%, MSIN.JK: 0.13%"
2022-11,365,2928.658023992909,19.99996932610018,"['BYAN.JK', 'MSIN.JK', 'PNBN.JK']","[0.77, 0.13, 0.1]","BYAN.JK: 0.77%, MSIN.JK: 0.13%, PNBN.JK: 0.10%"
2022-12,365,2345.0790758698568,5.123281267829665,"['BINA.JK', 'MSIN.JK', 'PNBN.JK']","[0.0, 0.9, 0.1]","BINA.JK: 0.00%, MSIN.JK: 0.90%, PNBN.JK: 0.10%"
