Period,Lookback_Days,portfolio_risk,stock,weight
2023-01,60,6.414090974721913,"['BSIM.JK', 'SRAJ.JK']","[0.1, 0.9]"
2023-02,60,10.224384452575535,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]"
2023-03,60,3.4694802973615393,"['BRIS.JK', 'CHIP.JK']","[0.1, 0.9]"
2023-04,60,4.482192143386446,"['AMAR.JK', 'BMAS.JK', 'BRIS.JK', 'CHIP.JK']","[0.1, 0.0, 0.0, 0.9]"
2023-05,60,5.177510603384278,"['AMAR.JK', 'BRIS.JK', 'CHIP.JK', 'NISP.JK']","[0.1, 0.0, 0.9, 0.0]"
2023-06,60,6.5818976499534205,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]"
2023-07,60,8.033413217802568,"['FILM.JK', 'NISP.JK']","[0.9, 0.1]"
2023-08,60,7.0090942702643515,"['BNBA.JK', 'UNIQ.JK']","[0.1, 0.9]"
2023-09,60,7.4569139427788045,"['BBHI.JK', 'IKBI.JK']","[0.1, 0.9]"
2023-10,60,4.500090042309404,"['NOBU.JK', 'SGER.JK']","[0.1, 0.9]"
2023-11,60,7.420994822283525,"['DOOH.JK', 'NOBU.JK']","[0.9, 0.1]"
2023-12,60,5.788680125140521,"['ARTO.JK', 'CUAN.JK']","[0.1, 0.9]"
