Period,Lookback_Days,portfolio_risk,stock,weight
2023-01,90,9.227391586406311,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]"
2023-02,90,5.187330558663654,"['BSIM.JK', 'EURO.JK']","[0.1, 0.9]"
2023-03,90,9.188438747528282,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]"
2023-04,90,3.9670203783797273,"['BMAS.JK', 'BRIS.JK', 'CHIP.JK']","[0.1, 0.0, 0.9]"
2023-05,90,4.543902729928334,"['BRIS.JK', 'CHIP.JK', 'NISP.JK']","[0.1, 0.9, 0.0]"
2023-06,90,5.819527059028558,"['AMAR.JK', 'CHIP.JK', 'NISP.JK']","[0.0, 0.9, 0.1]"
2023-07,90,6.102340124373292,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]"
2023-08,90,6.593148218144057,"['CUAN.JK', 'NISP.JK']","[0.9, 0.1]"
2023-09,90,5.95291182875749,"['BNBA.JK', 'KAYU.JK', 'NISP.JK']","[0.0, 0.9, 0.1]"
2023-10,90,5.544558189154888,"['KAYU.JK', 'NOBU.JK']","[0.9, 0.1]"
2023-11,90,5.903833172446796,"['CUAN.JK', 'NOBU.JK']","[0.9, 0.1]"
2023-12,90,5.807241616709111,"['CUAN.JK', 'NOBU.JK']","[0.9, 0.1]"
