period,datapoints,assets,allocations,allocations_idr,pnl_percentage,pnl_idr,end_of_period_value
2023-05,90.0,CHIP.JK,0.9,68328282.31,2.19,1494681.18,69822963.49000001
2023-05,90.0,NISP.JK,0.0,0.0,0,0.0,0.0
2023-06,90.0,AMAR.JK,0.0,0.0,0,-0.0,0.0
2023-06,90.0,CHIP.JK,0.9,69855974.47,0.34,236799.91,70092774.38
2023-06,90.0,NISP.JK,0.1,7761774.94,15.61,1211594.14,8973369.08
2023-07,90.0,CHIP.JK,0.9,71159529.11,6.42,4567672.48,75727201.59
2023-07,90.0,NISP.JK,0.1,7906614.35,1.68,132884.27,8039498.619999999
2023-08,90.0,CUAN.JK,0.9,75390030.19,34.72,26173986.74,101564016.92999999
2023-08,90.0,NISP.JK,0.1,8376670.02,-7.44,-623058.1,7753611.92
2023-09,90.0,BNBA.JK,0.0,0.0,0,-0.0,0.0
2023-09,90.0,KAYU.JK,0.9,98385865.97,31.88,31369406.54,129755272.50999999
2023-09,90.0,NISP.JK,0.1,10931762.89,-4.8,-525106.51,10406656.38
2023-10,90.0,KAYU.JK,0.9,126145735.99,30.6,38601973.85,164747709.84
2023-10,90.0,NOBU.JK,0.1,14016192.89,-5.19,-728113.92,13288078.97
2023-11,90.0,CUAN.JK,0.9,160232209.93,67.3,107833999.1,268066209.03
2023-11,90.0,NOBU.JK,0.1,17803578.88,10.34,1841749.54,19645328.419999998
2023-12,90.0,CUAN.JK,0.9,258940383.71,49.17,127312355.32,386252739.03
2023-12,90.0,NOBU.JK,0.1,28771153.75,-9.76,-2806941.83,25964211.92
2023-01,180.0,PNBN.JK,0.1,10000000.0,7.48,748299.32,10748299.32
2023-01,180.0,RAJA.JK,0.9,90000000.0,-11.21,-10093489.81,79906510.19
2023-02,180.0,BSIM.JK,0.0,0.0,0,0.0,0.0
2023-02,180.0,EURO.JK,0.9,81589328.56,-18.41,-15018931.13,66570397.43
2023-02,180.0,PNBN.JK,0.1,9065480.95,-8.83,-800736.49,8264744.459999999
2023-03,180.0,BSIM.JK,0.1,7483514.19,2.3,172034.81,7655549.0
2023-03,180.0,SINI.JK,0.9,67351627.7,-19.23,-12952236.1,54399391.6
2023-04,180.0,BSIM.JK,0.1,6205494.06,0.0,0.0,6205494.06
2023-04,180.0,CHIP.JK,0.9,55849446.54,12.67,7076813.43,62926259.97
2023-05,180.0,BSIM.JK,0.1,6913175.4,0.0,0.0,6913175.4
2023-05,180.0,CHIP.JK,0.9,62218578.63,2.19,1361031.41,63579610.04
2023-06,180.0,BSIM.JK,0.1,7049278.54,0.0,0.0,7049278.54
2023-06,180.0,CHIP.JK,0.9,63443506.9,0.34,215062.74,63658569.64
2023-06,180.0,NISP.JK,0.0,0.0,0,0.0,0.0
2023-07,180.0,CHIP.JK,0.9,63637063.36,6.42,4084811.5,67721874.86
2023-07,180.0,NISP.JK,0.1,7070784.82,1.68,118836.72,7189621.54
2023-08,180.0,BNGA.JK,0.0,0.0,0,0.0,0.0
2023-08,180.0,BSIM.JK,0.0,0.0,0,0.0,0.0
2023-08,180.0,CHIP.JK,0.9,67420346.76,10.63,7167611.62,74587958.38000001
2023-08,180.0,NISP.JK,0.1,7491149.64,-7.44,-557192.95,6933956.6899999995
2023-09,180.0,CHIP.JK,0.9,73369723.56,21.19,15550001.11,88919724.67
