Period,Lookback_Days,portfolio_risk,stock,weight,Init_Cap,Weighted_Invest,Return/Loss_Percentage,Cap_Gain/Loss,Final_Cap,portfolio_value
2023-01,180.0,4.4769140324230925,"['PNBN.JK', 'RAJA.JK']","[0.1, 0.9]",100000000.0,"[10000000.0, 90000000.0]","[7.48, -11.21]","[748299.32, -10093489.81]",90654809.51,100000000.0
2023-02,180.0,3.850968024302572,"['BSIM.JK', 'EURO.JK', 'PNBN.JK']","[0.0, 0.9, 0.1]",90654809.51,"[0.0, 81589328.56, 9065480.95]","[0, -18.41, -8.83]","[0.0, -15018931.13, -800736.49]",74835141.89,90654809.51
2023-03,180.0,7.536156459052081,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]",74835141.89,"[7483514.19, 67351627.7]","[2.3, -19.23]","[172034.81, -12952236.1]",62054940.6,74835141.89
2023-04,180.0,3.012961248136301,"['BSIM.JK', 'CHIP.JK']","[0.1, 0.9]",62054940.6,"[6205494.06, 55849446.54]","[0.0, 12.67]","[0.0, 7076813.43]",69131754.03,62054940.6
2023-05,180.0,3.4291032931133585,"['BSIM.JK', 'CHIP.JK']","[0.1, 0.9]",69131754.03,"[6913175.4, 62218578.63]","[0.0, 2.19]","[0.0, 1361031.41]",70492785.44,69131754.03
2023-06,180.0,4.30499302821237,"['BSIM.JK', 'CHIP.JK', 'NISP.JK']","[0.1, 0.9, 0.0]",70492785.44,"[7049278.54, 63443506.9, 0.0]","[0.0, 0.34, 0]","[0.0, 215062.74, 0.0]",70707848.17999999,70492785.44
2023-07,180.0,4.461312560685424,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]",70707848.17999999,"[63637063.36, 7070784.82]","[6.42, 1.68]","[4084811.5, 118836.72]",74911496.39999999,70707848.17999999
2023-08,180.0,4.619740176823528,"['BNGA.JK', 'BSIM.JK', 'CHIP.JK', 'NISP.JK']","[0.0, 0.0, 0.9, 0.1]",74911496.39999999,"[0.0, 0.0, 67420346.76, 7491149.64]","[0, 0, 10.63, -7.44]","[0.0, 0.0, 7167611.62, -557192.95]",81521915.07,74911496.39999999
2023-09,180.0,4.735534407473281,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]",81521915.07,"[73369723.56, 8152191.51]","[21.19, -4.8]","[15550001.11, -391589.99]",96680326.19,81521915.07
2023-10,180.0,4.953223411406281,"['BNGA.JK', 'CHIP.JK', 'NISP.JK', 'NOBU.JK']","[0.0, 0.9, 0.1, 0.0]",96680326.19,"[0.0, 87012293.57, 9668032.62, 0.0]","[0, 8.25, -2.2, 0]","[0.0, 7180626.17, -212952.26, -0.0]",103648000.1,96680326.19
2023-11,180.0,5.99086855586424,"['BNGA.JK', 'CUAN.JK', 'NISP.JK']","[0.0, 0.9, 0.1]",103648000.1,"[0.0, 93283200.09, 10364800.01]","[0, 67.3, 9.17]","[-0.0, 62778267.36, 950899.08]",167377166.54,103648000.1
2023-12,180.0,6.143830707001477,"['CUAN.JK', 'NISP.JK']","[0.9, 0.1]",167377166.54,"[150639449.89, 16737716.65]","[49.17, -2.88]","[74064396.2, -482156.45]",240959406.29,167377166.54
2024-01,,,,,,,,,,240959406.29
