Period,Lookback_Days,portfolio_risk,stock,weight,Init_Cap,Weighted_Invest,Return/Loss_Percentage,Cap_Gain/Loss,Final_Cap,portfolio_value
2023-01,90.0,9.227391586406313,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]",100000000.0,"[10000000.0, 90000000.0]","[0.0, -1.12]","[0.0, -1007462.69]",98992537.31,100000000.0
2023-02,90.0,5.187330558663654,"['BSIM.JK', 'EURO.JK']","[0.1, 0.9]",98992537.31,"[9899253.73, 89093283.58]","[5.29, -18.41]","[524078.14, -16400256.18]",83116359.27000001,98992537.31
2023-03,90.0,9.188438747528282,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]",83116359.27000001,"[8311635.93, 74804723.34]","[2.3, -19.23]","[191072.09, -14385523.72]",68921907.64000002,83116359.27000001
2023-04,90.0,3.9670203783797273,"['BMAS.JK', 'BRIS.JK', 'CHIP.JK']","[0.1, 0.0, 0.9]",68921907.64000002,"[6892190.76, 0.0, 62029716.88]","[-12.5, 0, 12.67]","[-861523.84, 0.0, 7859929.88]",75920313.68000002,68921907.64000002
2023-05,90.0,4.543902729928334,"['BRIS.JK', 'CHIP.JK', 'NISP.JK']","[0.1, 0.9, 0.0]",75920313.68000002,"[7592031.37, 68328282.31, 0.0]","[2.67, 2.19, 0]","[202754.55, 1494681.18, 0.0]",77617749.41000003,75920313.68000002
2023-06,90.0,5.819527059028558,"['AMAR.JK', 'CHIP.JK', 'NISP.JK']","[0.0, 0.9, 0.1]",77617749.41000003,"[0.0, 69855974.47, 7761774.94]","[0, 0.34, 15.61]","[-0.0, 236799.91, 1211594.14]",79066143.46000002,77617749.41000003
2023-07,90.0,6.102340124373292,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]",79066143.46000002,"[71159529.11, 7906614.35]","[6.42, 1.68]","[4567672.48, 132884.27]",83766700.21000002,79066143.46000002
2023-08,90.0,6.593148218144057,"['CUAN.JK', 'NISP.JK']","[0.9, 0.1]",83766700.21000002,"[75390030.19, 8376670.02]","[34.72, -7.44]","[26173986.74, -623058.1]",109317628.85000002,83766700.21000002
2023-09,90.0,5.95291182875749,"['BNBA.JK', 'KAYU.JK', 'NISP.JK']","[0.0, 0.9, 0.1]",109317628.85000002,"[0.0, 98385865.97, 10931762.89]","[0, 31.88, -4.8]","[-0.0, 31369406.54, -525106.51]",140161928.88000003,109317628.85000002
2023-10,90.0,5.544558189154888,"['KAYU.JK', 'NOBU.JK']","[0.9, 0.1]",140161928.88000003,"[126145735.99, 14016192.89]","[30.6, -5.19]","[38601973.85, -728113.92]",178035788.81000003,140161928.88000003
2023-11,90.0,5.903833172446796,"['CUAN.JK', 'NOBU.JK']","[0.9, 0.1]",178035788.81000003,"[160232209.93, 17803578.88]","[67.3, 10.34]","[107833999.1, 1841749.54]",287711537.45000005,178035788.81000003
2023-12,90.0,5.807241616709111,"['CUAN.JK', 'NOBU.JK']","[0.9, 0.1]",287711537.45000005,"[258940383.71, 28771153.75]","[49.17, -9.76]","[127312355.32, -2806941.83]",412216950.94000006,287711537.45000005
2024-01,,,,,,,,,,412216950.94000006
