Period,Lookback_Days,portfolio_risk,stock,weight,Init_Cap,Weighted_Invest,Return/Loss_Percentage,Cap_Gain/Loss,Final_Cap,portfolio_value
2023-01,30.0,19.999982643536917,"['BCIC.JK', 'EXCL.JK', 'SINI.JK']","[0.1, 0.08, 0.82]",100000000.0,"[10000000.0, 8000000.0, 82000000.0]","[-32.8, 5.99, -1.12]","[-3280423.28, 479262.67, -917910.45]",96280928.94,100000000.0
2023-02,30.0,7.920006188797489,"['BRIS.JK', 'WINE.JK']","[0.1, 0.9]",96280928.94,"[9628092.89, 86652836.05]","[13.01, -8.38]","[1252725.84, -7261410.84]",90272243.94,96280928.94
2023-03,30.0,4.374988076366828,"['AMAR.JK', 'CHIP.JK']","[0.1, 0.9]",90272243.94,"[9027224.39, 81245019.55]","[3.38, 175.47]","[304973.8, 142562015.44]",233139233.18,90272243.94
2023-04,30.0,4.653721869413645,"['BBSI.JK', 'BMAS.JK', 'CHIP.JK']","[0.0, 0.1, 0.9]",233139233.18,"[0.0, 23313923.32, 209825309.86]","[0, -12.5, 12.67]","[0.0, -2914240.42, 26587453.65]",256812446.41,233139233.18
2023-05,30.0,9.452061036907448,"['CUAN.JK', 'NISP.JK']","[0.9, 0.1]",256812446.41,"[231131201.77, 25681244.64]","[-11.62, 17.92]","[-26848573.94, 4601841.53]",234565714.0,256812446.41
2023-06,30.0,10.075249486515752,"['HITS.JK', 'NISP.JK']","[0.9, 0.1]",234565714.0,"[211109142.6, 23456571.4]","[0.0, 15.61]","[0.0, 3661513.58]",238227227.58,234565714.0
2023-07,30.0,9.497289551081662,"['BBHI.JK', 'UNIQ.JK']","[0.1, 0.9]",238227227.58,"[23822722.76, 214404504.82]","[5.85, 33.59]","[1393141.68, 72016257.39]",311636626.65000004,238227227.58
2023-08,30.0,8.82174611280642,"['ALKA.JK', 'BNBA.JK']","[0.9, 0.1]",311636626.65000004,"[280472963.98, 31163662.67]","[-21.56, -16.42]","[-60461237.74, -5116422.23]",246058966.68000004,311636626.65000004
2023-09,30.0,10.163003172897977,"['IKBI.JK', 'NOBU.JK']","[0.9, 0.1]",246058966.68000004,"[221453070.01, 24605896.67]","[-2.16, 10.0]","[-4779562.66, 2460589.67]",243739993.69000003,246058966.68000004
2023-10,30.0,12.14499721911366,"['NOBU.JK', 'POLU.JK']","[0.1, 0.9]",243739993.69000003,"[24373999.37, 219365994.32]","[-5.19, 0.0]","[-1266181.79, 0.0]",242473811.90000004,243739993.69000003
2023-11,30.0,9.902076043034262,"['BBSI.JK', 'DOOH.JK']","[0.1, 0.9]",242473811.90000004,"[24247381.19, 218226430.71]","[-6.25, -45.55]","[-1515461.32, -99401567.92]",141556782.66000003,242473811.90000004
2023-12,30.0,12.761912353787755,"['ARTO.JK', 'SOTS.JK']","[0.1, 0.9]",141556782.66000003,"[14155678.27, 127401104.39]","[-16.91, -26.41]","[-2393080.28, -33642715.88]",105520986.50000003,141556782.66000003
2024-01,,,,,,,,,,105520986.50000003
