Period,Lookback_Days,portfolio_risk,stock,weight
2023-01,180,4.4769140324230925,"['PNBN.JK', 'RAJA.JK']","[0.1, 0.9]"
2023-02,180,3.8509680243025723,"['BSIM.JK', 'EURO.JK', 'PNBN.JK']","[0.0, 0.9, 0.1]"
2023-03,180,7.536156459052081,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]"
2023-04,180,3.012961248136301,"['BSIM.JK', 'CHIP.JK']","[0.1, 0.9]"
2023-05,180,3.4291032931133585,"['BSIM.JK', 'CHIP.JK']","[0.1, 0.9]"
2023-06,180,4.30499302821237,"['BSIM.JK', 'CHIP.JK', 'NISP.JK']","[0.1, 0.9, 0.0]"
2023-07,180,4.461312560685424,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]"
2023-08,180,4.6197401768235276,"['BNGA.JK', 'BSIM.JK', 'CHIP.JK', 'NISP.JK']","[0.0, 0.0, 0.9, 0.1]"
2023-09,180,4.735534407473281,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]"
2023-10,180,4.953223411406281,"['BNGA.JK', 'CHIP.JK', 'NISP.JK', 'NOBU.JK']","[0.0, 0.9, 0.1, 0.0]"
2023-11,180,5.99086855586424,"['BNGA.JK', 'CUAN.JK', 'NISP.JK']","[0.0, 0.9, 0.1]"
2023-12,180,6.143830707001477,"['CUAN.JK', 'NISP.JK']","[0.9, 0.1]"
