Period,Lookback_Days,portfolio_risk,stock,weight,Init_Cap,Weighted_Invest,Return/Loss_Percentage,Cap_Gain/Loss,Final_Cap,portfolio_value
2023-01,365.0,3.1784605803645247,"['BBNI.JK', 'BYAN.JK', 'PNBN.JK']","[0.0, 0.9, 0.1]",100000000.0,"[0.0, 90000000.0, 10000000.0]","[0, -5.41, 7.48]","[-0.0, -4870588.24, 748299.32]",95877711.08,100000000.0
2023-02,365.0,3.2289916117417565,"['BYAN.JK', 'PNBN.JK']","[0.9, 0.1]",95877711.08,"[86289939.97, 9587771.11]","[-3.4, -8.83]","[-2930601.73, -846869.37]",92100239.98,95877711.08
2023-03,365.0,4.805609108775476,"['PNBN.JK', 'TMAS.JK']","[0.1, 0.9]",92100239.98,"[9210024.0, 82890215.98]","[-3.05, -7.72]","[-280983.78, -6395850.0]",85423406.2,92100239.98
2023-04,365.0,4.783214719537884,"['PNBN.JK', 'TMAS.JK']","[0.1, 0.9]",85423406.2,"[8542340.62, 76881065.58]","[-21.35, -0.35]","[-1823987.32, -266024.45]",83333394.43,85423406.2
2023-05,365.0,4.817335846913059,"['BMRI.JK', 'TMAS.JK']","[0.1, 0.9]",83333394.43,"[8333339.44, 75000054.99]","[-3.81, -1.37]","[-317460.55, -1027398.01]",81988535.87,83333394.43
2023-06,365.0,3.0645502683153336,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]",81988535.87,"[73789682.28, 8198853.59]","[0.34, 15.61]","[250134.52, 1279821.05]",83518491.44,81988535.87
2023-07,365.0,3.1837938255888862,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]",83518491.44,"[75166642.3, 8351849.14]","[6.42, 1.68]","[4824885.82, 140367.21]",88483744.47,83518491.44
2023-08,365.0,3.295802053078332,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]",88483744.47,"[79635370.02, 8848374.45]","[10.63, -7.44]","[8466218.74, -658143.55]",96291819.66,88483744.47
2023-09,365.0,20.00000025421715,"['BJBR.JK', 'BNGA.JK', 'CHIP.JK', 'NISP.JK', 'PNBN.JK']","[0.06, 0.0, 0.9, 0.04, 0.0]",96291819.66,"[5777509.18, 0.0, 86662637.69, 3851672.79, 0.0]","[-1.68, 0, 21.19, -4.8, 0]","[-97100.99, -0.0, 18367305.3, -185014.85, -0.0]",114377009.12,96291819.66
2023-10,365.0,3.539052362992994,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]",114377009.12,"[102939308.21, 11437700.91]","[8.25, -2.2]","[8494991.45, -251931.74]",122620068.83,114377009.12
2023-11,365.0,4.277058763957236,"['BNGA.JK', 'CUAN.JK', 'NISP.JK']","[0.0, 0.9, 0.1]",122620068.83,"[0.0, 110358061.95, 12262006.88]","[0, 67.3, 9.17]","[-0.0, 74269406.62, 1124954.76]",198014430.21,122620068.83
2023-12,365.0,4.415097737555016,"['BNGA.JK', 'CUAN.JK', 'NISP.JK']","[0.0, 0.9, 0.1]",198014430.21,"[0.0, 178212987.19, 19801443.02]","[0, 49.17, -2.88]","[-0.0, 87621385.37, -570411.94]",285065403.64,198014430.21
2024-01,,,,,,,,,,285065403.64
