"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"05/08/2024","890,71","908,71","909,16","882,15","8,59B","-3,12%"
"02/08/2024","919,37","921,15","925,16","914,44","3,92B","-0,66%"
"01/08/2024","925,51","917,47","926,03","915,48","3,16B","1,29%"
"31/07/2024","913,71","913,17","916,99","910,80","5,02B","0,32%"
"30/07/2024","910,76","919,88","920,54","908,98","2,98B","-1,07%"
"29/07/2024","920,60","923,65","927,49","918,00","3,13B","0,02%"
"26/07/2024","920,39","920,55","924,16","918,80","2,37B","0,46%"
"25/07/2024","916,16","917,75","918,31","908,84","2,79B","-0,11%"
"24/07/2024","917,17","920,15","923,48","915,04","4,09B","-0,66%"
"23/07/2024","923,26","926,34","927,17","919,59","14,07B","0,00%"
"22/07/2024","923,25","923,97","925,53","920,08","3,22B","0,40%"
"19/07/2024","919,53","919,31","920,21","912,32","3,40B","-0,35%"
"18/07/2024","922,78","911,56","923,69","910,60","4,08B","1,40%"
"17/07/2024","910,07","911,93","913,09","905,66","10,94B","0,61%"
"16/07/2024","904,55","914,72","915,84","903,16","1,59B","-0,88%"
"15/07/2024","912,58","922,07","922,58","908,44","1,74B","-0,85%"
"12/07/2024","920,38","922,25","925,61","917,61","2,05B","0,55%"
"11/07/2024","915,36","915,15","919,23","912,18","3,04B","0,33%"
"10/07/2024","912,33","912,33","916,23","910,24","9,70B","0,32%"
"09/07/2024","909,42","904,96","915,03","902,56","2,25B","0,56%"
"08/07/2024","904,33","908,46","908,66","899,45","2,60B","-0,25%"
"05/07/2024","906,64","905,47","911,00","901,68","1,82B","0,75%"
"04/07/2024","899,85","900,56","909,05","899,34","2,63B","0,25%"
"03/07/2024","897,60","898,49","898,91","889,97","2,17B","0,55%"
"02/07/2024","892,72","898,85","902,03","889,90","2,43B","-0,44%"
"01/07/2024","896,66","890,24","897,02","888,97","2,49B","1,01%"
"28/06/2024","887,73","879,33","893,08","878,82","3,66B","1,52%"
"27/06/2024","874,39","868,23","875,84","865,12","2,61B","1,29%"
"26/06/2024","863,29","862,18","870,19","861,47","3,51B","0,19%"
"25/06/2024","861,67","861,21","862,89","853,74","3,88B","-0,32%"
"24/06/2024","864,40","866,70","871,30","864,00","3,44B","-0,32%"
"21/06/2024","867,20","858,72","875,27","857,21","11,11B","1,45%"
"20/06/2024","854,78","844,74","854,78","841,32","5,34B","1,81%"
"19/06/2024","839,62","846,25","852,04","838,17","11,37B","-0,70%"
"14/06/2024","845,50","858,27","860,47","842,11","5,69B","-1,53%"
"13/06/2024","858,63","872,16","872,29","858,39","7,79B","-0,49%"
"12/06/2024","862,86","868,48","869,91","861,05","6,60B","-0,57%"
"11/06/2024","867,78","880,60","882,62","867,78","7,44B","-1,93%"
"10/06/2024","884,84","886,72","887,25","879,57","14,04B","0,10%"
"07/06/2024","883,93","894,69","895,40","882,94","3,90B","-0,92%"
"06/06/2024","892,10","890,95","896,91","884,97","5,45B","1,18%"
"05/06/2024","881,70","899,30","900,24","879,63","5,49B","-1,57%"
"04/06/2024","895,80","895,73","905,01","893,65","6,44B","0,85%"
"03/06/2024","888,28","883,75","891,50","876,08","5,12B","1,93%"
"31/05/2024","871,42","882,88","887,95","871,42","15,38B","-0,31%"
"30/05/2024","874,12","883,01","886,42","863,96","7,54B","-1,36%"
"29/05/2024","886,18","904,88","905,80","884,85","5,88B","-1,62%"
"28/05/2024","900,82","900,23","913,75","898,29","7,07B","1,24%"
"27/05/2024","889,79","895,00","902,09","889,25","9,29B","-0,68%"
"22/05/2024","895,84","894,02","900,51","891,30","4,64B","0,48%"
"21/05/2024","891,58","906,82","909,83","890,69","3,78B","-1,87%"
"20/05/2024","908,54","922,17","927,98","905,39","5,28B","-1,19%"
"17/05/2024","919,51","909,91","925,64","909,03","7,43B","1,12%"
"16/05/2024","909,31","906,67","912,59","904,90","4,89B","0,88%"
