"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"15/02/2023","957,64","960,31","960,88","948,38","4,27B","-0,28%"
"14/02/2023","960,31","953,22","960,31","953,22","4,41B","0,74%"
"13/02/2023","953,22","952,45","956,88","949,28","11,80B","0,08%"
"10/02/2023","952,45","951,82","952,45","937,86","2,63B","0,02%"
"09/02/2023","952,23","958,95","962,91","951,51","6,37B","-0,70%"
"08/02/2023","958,95","956,61","960,07","953,56","4,29B","0,24%"
"07/02/2023","956,61","948,45","959,43","948,19","4,96B","0,86%"
"06/02/2023","948,45","952,80","956,52","941,66","3,62B","-0,46%"
"03/02/2023","952,80","943,07","957,85","943,07","7,23B","1,04%"
"02/02/2023","943,04","941,14","945,87","938,67","8,05B","0,20%"
"01/02/2023","941,14","936,40","946,29","936,40","3,78B","0,50%"
"31/01/2023","936,49","945,44","945,45","935,34","4,69B","-0,95%"
"30/01/2023","945,43","949,74","952,67","937,49","3,61B","-0,45%"
"27/01/2023","949,73","941,64","956,18","941,64","3,98B","0,86%"
"26/01/2023","941,64","932,34","943,85","931,52","4,20B","1,00%"
"25/01/2023","932,34","939,35","941,33","931,09","6,71B","-0,75%"
"24/01/2023","939,35","941,01","945,18","935,77","7,77B","-0,18%"
"20/01/2023","941,01","937,61","942,88","936,27","5,15B","0,36%"
"19/01/2023","937,61","929,76","938,53","927,72","3,83B","0,84%"
"18/01/2023","929,76","929,82","933,54","921,88","5,38B","-0,01%"
"17/01/2023","929,85","913,32","935,79","913,32","9,41B","1,81%"
"16/01/2023","913,32","905,49","913,32","902,90","4,59B","0,86%"
"13/01/2023","905,49","905,68","909,26","898,22","7,75B","-0,02%"
"12/01/2023","905,68","894,95","911,22","893,01","4,12B","1,20%"
"11/01/2023","894,95","901,09","901,14","889,01","2,37B","-0,68%"
"10/01/2023","901,09","915,86","916,22","894,19","3,52B","-1,61%"
"09/01/2023","915,86","913,02","919,34","906,39","3,46B","0,31%"
"06/01/2023","913,02","909,65","913,98","899,61","2,19B","0,37%"
"05/01/2023","909,66","928,54","928,57","902,98","3,94B","-2,03%"
"04/01/2023","928,53","940,46","941,88","928,53","3,28B","-1,27%"
"03/01/2023","940,46","935,08","945,03","931,78","3,86B","0,57%"
"02/01/2023","935,08","937,20","937,22","929,77","1,54B","-0,22%"
"30/12/2022","937,18","939,88","944,83","937,18","3,95B","-0,29%"
"29/12/2022","939,87","933,69","940,06","926,80","5,04B","0,66%"
"28/12/2022","933,69","940,39","942,56","930,52","2,94B","-0,71%"
"27/12/2022","940,38","935,15","941,98","935,12","3,70B","0,56%"
"26/12/2022","935,15","934,27","938,91","931,22","2,37B","0,09%"
"23/12/2022","934,26","941,69","941,69","933,13","2,38B","-0,79%"
"22/12/2022","941,70","941,66","945,71","939,29","2,48B","0,00%"
"21/12/2022","941,66","938,90","942,78","935,22","3,66B","0,29%"
"20/12/2022","938,90","946,85","947,02","936,98","4,40B","-0,84%"
"19/12/2022","946,85","951,18","953,62","941,28","3,10B","-0,46%"
"16/12/2022","951,18","942,36","951,32","932,16","4,61B","0,94%"
"15/12/2022","942,36","951,17","951,18","940,01","4,46B","-0,93%"
"14/12/2022","951,16","952,80","959,50","944,95","10,18B","-0,17%"
"13/12/2022","952,79","938,75","955,68","934,94","27,98B","1,50%"
"12/12/2022","938,75","933,01","938,75","923,50","1,77B","0,61%"
"09/12/2022","933,01","944,22","944,22","928,84","1,70B","-1,19%"
"08/12/2022","944,22","945,58","947,17","927,73","2,32B","-0,14%"
"07/12/2022","945,58","961,84","961,86","944,66","2,08B","-1,69%"
"06/12/2022","961,84","979,16","979,16","956,07","2,11B","-1,77%"
"05/12/2022","979,15","989,59","989,59","979,15","2,25B","-1,05%"
"02/12/2022","989,59","995,96","996,16","984,33","1,70B","-0,64%"
"01/12/2022","995,96","1.008,26","1.009,91","995,45","2,68B","-1,22%"
"30/11/2022","1.008,28","995,23","1.010,21","991,16","8,37B","1,31%"
"29/11/2022","995,22","996,75","999,81","992,13","3,39B","-0,15%"
"28/11/2022","996,76","1.001,73","1.007,51","996,74","3,48B","-0,50%"
"25/11/2022","1.001,74","1.004,33","1.005,21","994,82","2,01B","-0,26%"
"24/11/2022","1.004,32","998,51","1.007,68","998,51","1,85B","0,58%"
"23/11/2022","998,50","996,88","1.005,72","996,07","2,23B","0,16%"
"22/11/2022","996,87","1.002,40","1.008,84","996,87","3,04B","-0,55%"
"21/11/2022","1.002,40","1.009,50","1.013,12","1.001,78","2,31B","-0,70%"
"18/11/2022","1.009,50","1.004,93","1.012,96","1.000,84","2,70B","0,46%"
"17/11/2022","1.004,92","1.000,96","1.007,90","992,73","2,03B","0,40%"
"16/11/2022","1.000,96","1.004,36","1.006,55","990,09","3,50B","-0,34%"
"15/11/2022","1.004,36","1.001,02","1.006,55","998,08","2,00B","0,33%"
"14/11/2022","1.001,02","1.012,94","1.014,96","1.000,04","2,56B","-1,18%"
"11/11/2022","1.012,94","991,68","1.016,64","991,68","5,46B","2,15%"
"10/11/2022","991,65","1.009,21","1.009,21","990,13","2,97B","-1,74%"
"09/11/2022","1.009,21","1.005,73","1.009,57","1.002,60","2,53B","0,34%"
"08/11/2022","1.005,74","1.015,29","1.016,63","1.003,69","1,54B","-0,94%"
"07/11/2022","1.015,28","1.005,98","1.015,28","998,87","2,32B","0,92%"
"04/11/2022","1.005,98","1.001,30","1.005,98","993,09","2,36B","0,47%"
"03/11/2022","1.001,30","999,10","1.005,23","989,26","3,26B","0,22%"
"02/11/2022","999,10","1.007,37","1.010,28","992,36","2,42B","-0,82%"
"01/11/2022","1.007,37","1.014,13","1.020,56","1.001,07","2,43B","-0,67%"
"31/10/2022","1.014,12","1.009,70","1.017,48","1.008,85","2,42B","0,44%"
"28/10/2022","1.009,70","1.012,77","1.014,14","1.002,66","2,07B","-0,30%"
"27/10/2022","1.012,77","1.004,19","1.014,51","1.004,19","2,57B","0,86%"
"26/10/2022","1.004,18","1.005,84","1.010,23","1.000,71","3,63B","-0,16%"
"25/10/2022","1.005,83","1.006,51","1.015,82","1.002,72","3,24B","-0,07%"
"24/10/2022","1.006,50","1.000,36","1.013,25","1.000,30","2,82B","0,61%"
"21/10/2022","1.000,36","993,69","1.008,40","992,22","2,35B","0,67%"
"20/10/2022","993,68","974,07","996,19","971,37","3,50B","2,01%"
"19/10/2022","974,07","971,35","978,70","965,31","2,03B","0,28%"
"18/10/2022","971,35","972,68","983,43","969,42","2,33B","-0,14%"
"17/10/2022","972,67","966,74","974,87","957,46","2,57B","0,61%"
"14/10/2022","966,74","978,49","989,74","966,74","2,25B","-1,20%"
"13/10/2022","978,48","984,56","988,60","978,48","2,00B","-0,62%"
"12/10/2022","984,56","988,42","994,03","978,50","2,49B","-0,39%"
"11/10/2022","988,42","996,69","998,20","988,16","1,92B","-0,83%"
"10/10/2022","996,69","999,37","999,98","987,30","1,54B","-0,27%"
"07/10/2022","999,39","1.010,68","1.010,76","996,92","1,43B","-1,12%"
"06/10/2022","1.010,68","1.011,63","1.021,68","1.009,58","2,07B","-0,09%"
"05/10/2022","1.011,63","1.014,65","1.022,31","1.011,63","1,92B","-0,30%"
"04/10/2022","1.014,65","1.006,40","1.021,14","1.006,40","2,14B","0,82%"
"03/10/2022","1.006,37","1.011,47","1.013,16","1.003,88","1,96B","-0,50%"
"30/09/2022","1.011,47","1.009,03","1.015,66","993,45","3,06B","0,24%"
"29/09/2022","1.009,03","1.013,52","1.022,69","1.006,97","1,90B","-0,44%"
"28/09/2022","1.013,51","1.015,98","1.026,63","1.009,77","2,30B","-0,24%"
"27/09/2022","1.015,98","1.020,20","1.021,30","1.011,48","2,53B","-0,41%"
"26/09/2022","1.020,20","1.025,62","1.025,62","1.004,19","3,30B","-0,53%"
"23/09/2022","1.025,63","1.032,67","1.032,67","1.023,49","2,36B","-0,68%"
"22/09/2022","1.032,65","1.029,20","1.034,27","1.018,47","1,87B","0,33%"
"21/09/2022","1.029,22","1.028,19","1.029,93","1.019,03","2,17B","0,10%"
"20/09/2022","1.028,21","1.024,74","1.036,78","1.024,74","3,30B","0,34%"
"19/09/2022","1.024,73","1.016,02","1.032,08","1.013,47","3,05B","0,86%"
"16/09/2022","1.016,01","1.041,04","1.041,15","1.016,01","5,94B","-2,40%"
"15/09/2022","1.041,04","1.035,54","1.053,43","1.035,54","4,07B","0,53%"
"14/09/2022","1.035,52","1.042,62","1.042,62","1.026,46","3,19B","-0,68%"
"13/09/2022","1.042,64","1.032,79","1.048,25","1.032,78","2,93B","0,95%"
"12/09/2022","1.032,79","1.032,01","1.037,64","1.028,02","2,25B","0,08%"
"09/09/2022","1.032,00","1.028,07","1.035,77","1.024,48","2,26B","0,38%"
"08/09/2022","1.028,06","1.019,67","1.036,66","1.019,63","3,70B","0,82%"
"07/09/2022","1.019,67","1.027,01","1.028,74","1.016,41","3,28B","-0,72%"
"06/09/2022","1.027,01","1.029,30","1.038,79","1.027,01","1,70B","-0,22%"
"05/09/2022","1.029,30","1.019,79","1.031,95","1.014,52","1,46B","0,93%"
"02/09/2022","1.019,79","1.016,93","1.026,51","1.014,59","1,20B","0,28%"
"01/09/2022","1.016,93","1.022,82","1.025,26","1.014,43","1,17B","-0,58%"
"31/08/2022","1.022,82","1.021,76","1.023,80","1.005,10","4,06B","0,11%"
"30/08/2022","1.021,75","1.016,31","1.033,94","1.016,04","2,62B","0,54%"
"29/08/2022","1.016,30","1.014,24","1.016,30","994,05","2,86B","0,20%"
"26/08/2022","1.014,27","1.021,50","1.025,40","1.014,27","2,49B","-0,71%"
"25/08/2022","1.021,48","1.026,61","1.028,63","1.016,20","2,10B","-0,50%"
"24/08/2022","1.026,61","1.023,01","1.029,10","1.021,14","2,16B","0,35%"
"23/08/2022","1.023,00","1.014,66","1.027,74","1.014,47","3,27B","0,82%"
"22/08/2022","1.014,68","1.022,99","1.023,33","1.006,44","3,02B","-0,81%"
"19/08/2022","1.022,99","1.026,34","1.033,08","1.022,99","2,59B","-0,33%"
"18/08/2022","1.026,33","1.016,36","1.026,48","1.014,09","3,54B","0,98%"
"16/08/2022","1.016,36","1.005,79","1.017,50","1.005,64","4,03B","1,05%"
"15/08/2022","1.005,79","1.012,04","1.016,71","1.003,62","2,17B","-0,62%"
"12/08/2022","1.012,04","1.018,33","1.019,24","1.009,59","2,27B","-0,62%"
"11/08/2022","1.018,33","1.007,80","1.022,23","1.007,80","3,47B","1,04%"
"10/08/2022","1.007,80","1.008,71","1.008,92","994,42","2,51B","-0,09%"
"09/08/2022","1.008,71","1.007,14","1.017,22","1.007,02","3,12B","0,16%"
"08/08/2022","1.007,14","1.007,80","1.009,98","1.001,51","3,02B","-0,07%"
"05/08/2022","1.007,80","1.003,77","1.008,88","1.000,10","2,90B","0,40%"
"04/08/2022","1.003,77","999,95","1.005,29","996,40","3,88B","0,38%"
"03/08/2022","999,95","988,61","999,95","985,73","3,55B","1,15%"
"02/08/2022","988,61","981,99","988,61","973,51","3,03B","0,67%"
"01/08/2022","981,99","978,63","989,57","978,26","2,83B","0,34%"
"29/07/2022","978,63","980,27","992,94","978,63","3,36B","-0,17%"
"28/07/2022","980,25","974,48","986,90","974,48","4,65B","0,59%"
"27/07/2022","974,46","968,47","975,86","966,77","3,04B","0,62%"
"26/07/2022","968,48","967,14","973,68","966,85","2,28B","0,14%"
"25/07/2022","967,13","974,06","977,71","967,13","1,86B","-0,71%"
"22/07/2022","974,04","971,55","976,15","968,52","2,72B","0,26%"
"21/07/2022","971,55","973,96","976,62","960,92","2,20B","-0,25%"
"20/07/2022","973,95","949,16","974,79","949,14","4,02B","2,61%"
"19/07/2022","949,14","940,78","950,96","932,48","3,47B","0,89%"
"18/07/2022","940,77","938,98","947,02","930,91","2,65B","0,19%"
"15/07/2022","938,95","948,57","952,24","938,05","2,71B","-1,01%"
"14/07/2022","948,57","936,43","950,53","931,93","2,52B","1,30%"
"13/07/2022","936,43","949,50","950,95","935,09","2,80B","-1,38%"
"12/07/2022","949,50","952,21","955,36","948,93","2,31B","-0,28%"
"11/07/2022","952,20","959,64","963,24","947,28","2,01B","-0,78%"
"08/07/2022","959,68","946,59","960,55","946,59","3,23B","1,38%"
"07/07/2022","946,58","947,15","953,70","944,14","2,64B","-0,06%"
"06/07/2022","947,15","957,11","958,41","939,43","3,02B","-1,04%"
"05/07/2022","957,11","950,16","969,42","950,01","3,39B","0,73%"
"04/07/2022","950,15","974,34","974,75","937,59","3,02B","-2,48%"
"01/07/2022","974,33","991,93","997,41","970,31","2,98B","-1,78%"
"30/06/2022","991,93","995,71","1.004,19","990,84","3,41B","-0,38%"
"29/06/2022","995,71","1.007,64","1.010,76","995,71","2,90B","-1,18%"
"28/06/2022","1.007,64","1.010,75","1.010,90","1.000,46","3,24B","-0,31%"
"27/06/2022","1.010,74","1.019,00","1.022,63","1.003,54","3,50B","-0,81%"
"24/06/2022","1.018,98","1.013,23","1.023,86","1.012,09","5,07B","0,57%"
"23/06/2022","1.013,22","1.008,76","1.015,55","999,93","3,54B","0,44%"
"22/06/2022","1.008,76","1.018,05","1.021,07","1.005,17","4,03B","-0,91%"
"21/06/2022","1.018,04","1.006,78","1.019,05","1.004,37","4,79B","1,12%"
"20/06/2022","1.006,79","997,91","1.006,79","986,00","6,42B","0,89%"
"17/06/2022","997,90","1.004,98","1.008,45","990,75","5,78B","-1,96%"
"16/06/2022","1.017,89","1.025,16","1.034,41","1.013,14","6,96B","0,37%"
"15/06/2022","1.014,12","1.015,56","1.025,00","1.005,96","5,95B","-0,53%"
"14/06/2022","1.019,53","1.000,82","1.019,53","1.000,53","7,32B","0,93%"
"13/06/2022","1.010,14","1.000,09","1.010,14","994,86","7,13B","-0,89%"
"10/06/2022","1.019,24","1.029,10","1.033,75","1.013,49","7,15B","-1,73%"
"09/06/2022","1.037,18","1.040,12","1.051,32","1.037,15","9,40B","-0,43%"
"08/06/2022","1.041,61","1.029,80","1.044,95","1.022,75","2,74B","1,04%"
"07/06/2022","1.030,84","1.036,95","1.041,21","1.030,84","2,43B","-0,53%"
"06/06/2022","1.036,38","1.038,65","1.044,14","1.027,71","2,08B","-0,69%"
"03/06/2022","1.043,54","1.046,48","1.053,83","1.043,28","2,48B","0,35%"
"02/06/2022","1.039,90","1.051,66","1.054,65","1.035,66","3,13B","-1,60%"
"31/05/2022","1.056,78","1.036,09","1.056,78","1.033,82","5,65B","2,62%"
"30/05/2022","1.029,83","1.037,70","1.038,03","1.020,29","2,22B","-0,20%"
"27/05/2022","1.031,93","1.025,39","1.031,93","1.021,21","2,29B","2,22%"
"25/05/2022","1.009,51","1.016,10","1.021,40","1.007,51","2,41B","-0,63%"
"24/05/2022","1.015,93","1.006,39","1.022,26","1.006,39","2,89B","1,33%"
"23/05/2022","1.002,57","1.018,15","1.020,38","997,96","2,26B","-1,24%"
"20/05/2022","1.015,18","1.011,58","1.022,48","1.011,58","2,52B","0,69%"
"19/05/2022","1.008,20","998,26","1.012,27","989,99","2,76B","-0,77%"
"18/05/2022","1.016,00","1.011,90","1.018,51","1.003,84","2,73B","1,18%"
"17/05/2022","1.004,12","997,14","1.013,88","995,87","2,67B","0,82%"
"13/05/2022","995,98","989,91","1.005,05","983,60","3,73B","0,26%"
"12/05/2022","993,35","1.021,80","1.021,97","987,95","3,03B","-3,13%"
"11/05/2022","1.025,44","1.024,19","1.038,19","1.020,82","","0,43%"
"10/05/2022","1.021,08","986,84","1.023,18","986,84","3,81B","-0,47%"
"09/05/2022","1.025,94","1.067,27","1.069,26","1.023,51","4,02B","-5,48%"
"28/04/2022","1.085,44","1.088,83","1.093,61","1.084,41","3,67B","1,04%"
"27/04/2022","1.074,25","1.070,13","1.077,38","1.069,51","2,09B","-0,08%"
"26/04/2022","1.075,11","1.062,14","1.075,33","1.061,34","2,58B","1,06%"
"25/04/2022","1.063,85","1.051,67","1.066,52","1.041,82","2,52B","0,66%"
"22/04/2022","1.056,86","1.057,80","1.067,28","1.049,02","2,36B","-0,65%"
"21/04/2022","1.063,73","1.058,92","1.067,97","1.056,76","2,62B","0,95%"
"20/04/2022","1.053,68","1.043,81","1.058,74","1.041,80","3,28B","1,59%"
"19/04/2022","1.037,14","1.042,81","1.045,04","1.036,41","2,12B","-0,37%"
"18/04/2022","1.040,97","1.037,99","1.042,30","1.037,44","1,93B","0,51%"
"14/04/2022","1.035,67","1.045,25","1.046,46","1.034,88","2,27B","-0,87%"
"13/04/2022","1.044,75","1.042,80","1.045,98","1.039,71","2,53B","0,76%"
"12/04/2022","1.036,85","1.029,43","1.036,85","1.027,26","2,29B","0,74%"
"11/04/2022","1.029,27","1.043,98","1.043,98","1.028,28","2,26B","-1,39%"
"08/04/2022","1.043,82","1.038,20","1.045,49","1.035,92","2,12B","1,15%"
"07/04/2022","1.031,96","1.032,79","1.036,11","1.028,64","2,19B","0,18%"
"06/04/2022","1.030,12","1.034,57","1.037,23","1.027,53","2,15B","-0,84%"
"05/04/2022","1.038,85","1.035,07","1.038,85","1.030,93","1,78B","0,52%"
"04/04/2022","1.033,50","1.028,23","1.033,50","1.023,36","1,66B","0,58%"
"01/04/2022","1.027,52","1.027,94","1.028,90","1.019,09","2,15B","0,44%"
"31/03/2022","1.022,99","1.028,33","1.031,86","1.020,54","2,34B","-0,12%"
"30/03/2022","1.024,22","1.025,33","1.025,64","1.018,78","3,08B","0,50%"
"29/03/2022","1.019,08","1.027,66","1.031,37","1.018,25","2,41B","-0,76%"
"28/03/2022","1.026,84","1.017,16","1.027,79","1.014,48","2,65B","0,90%"
"25/03/2022","1.017,67","1.026,23","1.026,82","1.011,80","2,39B","-0,83%"
"24/03/2022","1.026,19","1.008,99","1.026,19","1.007,87","2,78B","1,43%"
"23/03/2022","1.011,68","1.014,08","1.016,11","1.006,38","2,48B","-0,01%"
"22/03/2022","1.011,75","1.008,61","1.012,30","1.006,32","2,55B","0,80%"
"21/03/2022","1.003,76","1.002,25","1.008,10","998,93","2,20B","0,00%"
"18/03/2022","1.003,77","1.010,00","1.012,28","999,69","3,94B","-0,20%"
"17/03/2022","1.005,82","1.018,18","1.020,13","1.003,62","3,15B","-0,77%"
"16/03/2022","1.013,61","1.008,09","1.013,61","1.003,75","3,19B","1,23%"
"15/03/2022","1.001,28","1.007,24","1.011,98","997,48","3,14B","-0,25%"
"14/03/2022","1.003,80","1.003,77","1.007,80","997,54","3,14B","0,61%"
"11/03/2022","997,70","985,85","997,70","983,27","2,53B","0,06%"
"10/03/2022","997,14","1.000,82","1.001,48","985,06","3,20B","0,38%"
"09/03/2022","993,38","992,09","999,27","987,18","3,56B","0,69%"
"08/03/2022","986,54","995,89","1.006,85","984,45","5,37B","-0,24%"
"07/03/2022","988,91","989,29","992,42","982,79","4,24B","-0,52%"
"04/03/2022","994,05","992,33","994,66","985,13","3,61B","1,62%"
"02/03/2022","978,16","995,18","998,04","976,38","2,76B","-0,96%"
"01/03/2022","987,65","1.006,66","1.008,51","987,65","3,39B","0,21%"
"25/02/2022","985,54","975,80","988,30","974,59","3,12B","1,22%"
"24/02/2022","973,65","981,89","986,75","962,73","4,10B","-1,16%"
"23/02/2022","985,08","977,83","985,08","975,31","2,13B","1,17%"
"22/02/2022","973,73","974,10","978,19","965,92","2,05B","-0,62%"
"21/02/2022","979,78","980,91","984,98","976,78","1,76B","-0,02%"
"18/02/2022","979,96","973,64","982,36","968,86","1,85B","0,67%"
"17/02/2022","973,40","974,11","977,00","964,25","1,56B","-0,32%"
"16/02/2022","976,51","979,06","980,95","974,55","1,77B","0,12%"
"15/02/2022","975,32","965,28","975,32","961,58","1,70B","1,32%"
"14/02/2022","962,64","966,45","967,53","954,40","1,97B","-0,93%"
"11/02/2022","971,68","972,09","974,82","963,76","1,66B","-0,20%"
"10/02/2022","973,64","978,44","980,49","971,10","2,45B","0,20%"
"09/02/2022","971,72","966,69","973,92","962,10","2,06B","1,01%"
"08/02/2022","962,01","967,19","976,01","962,01","2,44B","-0,27%"
"07/02/2022","964,61","956,33","965,16","953,62","2,05B","1,36%"
"04/02/2022","951,67","949,47","952,85","946,12","1,77B","0,61%"
"03/02/2022","945,94","952,16","952,38","939,57","1,83B","-0,21%"
"02/02/2022","947,89","944,90","950,11","941,68","2,10B","0,88%"
"31/01/2022","939,63","952,31","952,34","939,63","1,69B","-1,07%"
"28/01/2022","949,77","948,87","950,67","943,08","1,83B","0,29%"
"27/01/2022","947,02","943,86","949,91","940,91","1,88B","0,02%"
"26/01/2022","946,86","941,09","947,17","937,67","1,95B","0,80%"
"25/01/2022","939,34","944,19","944,65","930,73","1,95B","-1,07%"
"24/01/2022","949,49","953,95","955,23","946,89","1,29B","-1,07%"
"21/01/2022","959,76","943,31","959,76","938,72","1,54B","1,74%"
"20/01/2022","943,34","942,52","946,92","938,04","2,26B","0,50%"
"19/01/2022","938,61","943,97","944,68","937,01","2,11B","-0,66%"
"18/01/2022","944,82","950,33","952,29","932,20","2,20B","-0,34%"
"17/01/2022","948,02","957,20","957,30","943,71","1,91B","-0,52%"
"14/01/2022","952,95","949,12","955,18","945,19","1,62B","0,25%"
"13/01/2022","950,59","947,36","950,84","943,27","1,91B","0,71%"
"12/01/2022","943,93","943,95","946,86","937,57","2,18B","0,38%"
"11/01/2022","940,32","947,66","948,89","938,02","2,04B","-0,41%"
"10/01/2022","944,18","949,48","951,60","944,18","1,43B","-0,60%"
"07/01/2022","949,86","944,20","952,70","939,92","1,79B","0,99%"
"06/01/2022","940,50","942,30","943,35","930,29","1,89B","0,13%"
"05/01/2022","939,30","949,08","952,80","934,13","2,10B","-0,91%"
"04/01/2022","947,88","945,77","952,70","945,01","2,45B","0,48%"
"03/01/2022","943,32","932,42","945,98","931,90","1,24B","1,28%"
"30/12/2021","931,41","938,15","938,41","931,41","1,44B","-0,51%"
"29/12/2021","936,22","938,61","940,99","932,96","1,39B","-0,09%"
"28/12/2021","937,08","936,70","939,85","934,93","1,42B","0,38%"
"27/12/2021","933,49","933,24","935,41","931,32","1,08B","0,27%"
"24/12/2021","930,96","933,25","935,85","928,96","1,01B","-0,16%"
"23/12/2021","932,44","929,27","934,28","927,04","1,08B","0,59%"
"22/12/2021","926,93","939,54","940,95","926,93","1,24B","-0,86%"
"21/12/2021","934,96","932,39","939,50","931,26","1,34B","0,30%"
"20/12/2021","932,17","932,22","935,88","929,78","1,34B","-0,77%"
"17/12/2021","939,41","933,54","939,41","931,27","1,79B","0,24%"
"16/12/2021","937,11","950,02","951,27","936,04","1,89B","-0,78%"
"15/12/2021","944,48","940,30","950,05","938,87","2,01B","0,44%"
"14/12/2021","940,34","945,22","945,95","937,77","1,43B","-0,36%"
"13/12/2021","943,71","951,53","953,79","943,71","1,30B","-0,52%"
"10/12/2021","948,61","945,23","948,61","939,67","1,67B","-0,41%"
"09/12/2021","952,51","949,31","952,51","943,74","2,07B","0,73%"
"08/12/2021","945,59","953,10","953,66","943,64","2,97B","-0,48%"
"07/12/2021","950,17","945,55","950,17","944,53","2,65B","1,20%"
"06/12/2021","938,92","942,11","949,22","936,69","1,98B","0,00%"
"03/12/2021","938,93","950,29","951,86","938,93","1,50B","-1,11%"
"02/12/2021","949,49","933,50","950,80","930,66","2,59B","1,93%"
"01/12/2021","931,54","933,86","946,52","929,58","2,67B","0,06%"
"30/11/2021","930,97","950,78","954,21","930,97","3,61B","-2,07%"
"29/11/2021","950,67","939,04","953,71","927,39","","1,02%"
"26/11/2021","941,11","962,65","962,71","938,97","3,32B","-2,49%"
"25/11/2021","965,14","962,59","972,98","961,57","2,41B","0,66%"
"24/11/2021","958,84","962,92","963,33","956,72","1,67B","0,05%"
"23/11/2021","958,39","962,15","965,66","956,20","2,10B","-0,55%"
"22/11/2021","963,64","966,90","970,71","957,00","2,11B","0,00%"
"19/11/2021","963,64","949,72","964,86","948,74","1,78B","1,87%"
"18/11/2021","945,94","948,62","951,44","943,77","1,45B","-0,78%"
"17/11/2021","953,40","952,53","953,40","946,26","1,58B","0,56%"
"16/11/2021","948,11","938,11","949,76","937,45","1,44B","0,63%"
"15/11/2021","942,20","953,45","955,23","941,81","1,48B","-0,97%"
"12/11/2021","951,44","962,16","962,86","950,37","1,44B","-0,66%"
"11/11/2021","957,73","960,79","963,03","955,01","1,37B","-0,07%"
"10/11/2021","958,40","951,38","959,20","949,18","1,35B","0,61%"
"09/11/2021","952,63","952,34","955,23","949,13","1,41B","0,22%"
"08/11/2021","950,57","952,13","953,74","946,27","1,29B","0,27%"
"05/11/2021","947,97","951,00","951,93","939,70","1,45B","-0,02%"
"04/11/2021","948,17","954,68","955,94","948,17","1,71B","0,32%"
"03/11/2021","945,13","934,44","947,44","931,97","1,53B","1,24%"
"02/11/2021","933,55","945,68","947,91","931,94","1,59B","-1,16%"
"01/11/2021","944,49","958,80","959,29","944,49","1,62B","-0,85%"
"29/10/2021","952,59","952,49","954,65","947,90","1,93B","1,04%"
"28/10/2021","942,81","951,31","956,31","940,36","2,31B","-1,46%"
"27/10/2021","956,82","966,19","966,48","954,29","1,92B","-0,85%"
"26/10/2021","965,04","964,30","970,59","961,20","1,66B","0,39%"
"25/10/2021","961,32","966,37","972,42","961,32","1,66B","-0,98%"
"22/10/2021","970,79","964,82","972,32","959,62","2,14B","0,27%"
"21/10/2021","968,16","978,95","980,75","962,85","3,21B","-0,72%"
"19/10/2021","975,16","978,86","980,26","966,05","2,07B","-0,13%"
"18/10/2021","976,43","976,61","982,16","971,05","2,93B","0,43%"
"15/10/2021","972,21","977,13","981,80","962,09","2,48B","-0,05%"
"14/10/2021","972,66","963,81","976,90","963,76","2,74B","1,26%"
"13/10/2021","960,51","950,17","969,37","949,62","2,88B","1,47%"
"12/10/2021","946,61","942,16","950,60","941,87","3,39B","0,54%"
"11/10/2021","941,55","940,54","944,03","935,32","2,34B","0,18%"
"08/10/2021","939,88","930,31","941,60","929,14","2,40B","1,69%"
"07/10/2021","924,25","927,13","932,19","921,18","3,31B","-0,41%"
"06/10/2021","928,07","908,39","932,57","906,59","3,58B","2,87%"
"05/10/2021","902,17","909,82","913,05","899,33","3,70B","-0,97%"
"04/10/2021","911,01","887,54","911,01","887,50","3,27B","2,82%"
"01/10/2021","886,01","891,03","892,13","881,91","2,83B","-0,97%"
"30/09/2021","894,68","873,91","894,68","873,53","2,41B","2,80%"
"29/09/2021","870,34","856,78","870,52","855,07","1,97B","1,22%"
"28/09/2021","859,88","863,20","864,32","858,63","2,18B","-0,17%"
"27/09/2021","861,31","864,78","867,08","858,29","1,75B","-0,57%"
"24/09/2021","866,25","865,78","870,75","862,15","2,30B","0,09%"
"23/09/2021","865,51","864,31","867,76","862,37","1,95B","0,39%"
"22/09/2021","862,18","851,32","864,00","851,05","1,67B","1,23%"
"21/09/2021","851,73","847,84","854,10","840,96","1,88B","-0,36%"
"20/09/2021","854,83","861,27","861,30","848,51","1,82B","-0,88%"
"17/09/2021","862,44","859,11","862,44","854,27","2,02B","-0,03%"
"16/09/2021","862,70","869,91","871,00","860,49","1,50B","-0,40%"
"15/09/2021","866,13","868,77","869,85","863,37","1,95B","-0,48%"
"14/09/2021","870,30","869,09","870,94","866,32","2,07B","0,55%"
"13/09/2021","865,54","865,40","868,32","859,65","1,10B","-0,54%"
"10/09/2021","870,20","869,25","872,84","863,45","1,59B","-0,19%"
"09/09/2021","871,84","856,63","871,84","853,70","1,80B","1,78%"
"08/09/2021","856,60","872,36","873,51","851,77","1,72B","-1,70%"
"07/09/2021","871,38","877,39","878,20","870,25","1,55B","-0,36%"
"06/09/2021","874,54","877,27","879,32","870,33","2,10B","0,07%"
"03/09/2021","873,92","864,71","873,92","859,34","1,69B","1,28%"
"02/09/2021","862,86","861,16","864,30","857,28","1,15B","0,27%"
"01/09/2021","860,51","868,22","869,33","860,05","1,26B","-0,69%"
