ticker,industry
FIRE.JK,Thermal Coal
FISH.JK,Farm Products
FITT.JK,Lodging
FLMC.JK,Household & Personal Products
FMII.JK,Real Estate - Development
FOLK.JK,Internet Retail
FOOD.JK,Packaged Foods
FORU.JK,Advertising Agencies
FORZ.JK,Real Estate - Development
FPNI.JK,Specialty Chemicals
FREN.JK,Telecom Services
FUJI.JK,Credit Services
FUTR.JK,Advertising Agencies
FWCT.JK,Lumber & Wood Production
GAMA.JK,Real Estate - Development
GDST.JK,Steel
GDYR.JK,Auto Parts
GEMA.JK,"Furnishings, Fixtures & Appliances"
GEMS.JK,Thermal Coal
GGRM.JK,Tobacco
GGRP.JK,Steel
GHON.JK,Telecom Services
GIAA.JK,Airlines
GJTL.JK,Auto Parts
GLOB.JK,Specialty Retail
GLVA.JK,Electronics & Computer Distribution
GMFI.JK,Aerospace & Defense
GMTD.JK,Real Estate - Development
GOLD.JK,Telecom Services
GOLL.JK,
GOOD.JK,Packaged Foods
GOTO.JK,Software - Application
GPRA.JK,Real Estate - Development
GPSO.JK,Scientific & Technical Instruments
GRIA.JK,Real Estate - Development
GRPM.JK,Beverages - Non-Alcoholic
GSMF.JK,Insurance - Diversified
GTBO.JK,Thermal Coal
GTRA.JK,Integrated Freight & Logistics
GTSI.JK,Marine Shipping
GULA.JK,Farm Products
GWSA.JK,Real Estate - Development
GZCO.JK,Farm Products
HADE.JK,Specialty Retail
HAIS.JK,Marine Shipping
HAJJ.JK,Travel Services
HALO.JK,Chemicals
HATM.JK,Marine Shipping
HBAT.JK,Real Estate - Development
HDFA.JK,Credit Services
HDIT.JK,Software - Infrastructure
HDTX.JK,
HEAL.JK,Medical Care Facilities
HELI.JK,Airports & Air Services
HERO.JK,Department Stores
HEXA.JK,Industrial Distribution
HILL.JK,Other Industrial Metals & Mining
HITS.JK,Marine Shipping
HKMU.JK,Building Materials
HMSP.JK,Tobacco
HOKI.JK,Packaged Foods
HOME.JK,
HOMI.JK,Real Estate - Development
HOPE.JK,Metal Fabrication
HOTL.JK,Lodging
HRME.JK,Lodging
HRTA.JK,Luxury Goods
HRUM.JK,Thermal Coal
HUMI.JK,Marine Shipping
IATA.JK,Thermal Coal
IBFN.JK,Credit Services
IBOS.JK,Restaurants
IBST.JK,Telecom Services
ICBP.JK,Packaged Foods
ICON.JK,Lodging
IDEA.JK,Education & Training Services
IDPR.JK,Engineering & Construction
IFII.JK,Lumber & Wood Production
IFSH.JK,Other Industrial Metals & Mining
IGAR.JK,Packaging & Containers
IIKP.JK,
IKAI.JK,Building Products & Equipment
IKAN.JK,Farm Products
IKBI.JK,Electrical Equipment & Parts
IMAS.JK,Auto & Truck Dealerships
IMJS.JK,Conglomerates
IMPC.JK,Building Products & Equipment
INAF.JK,Drug Manufacturers - Specialty & Generic
INAI.JK,Aluminum
INCF.JK,Specialty Chemicals
INCI.JK,Specialty Chemicals
INCO.JK,Other Industrial Metals & Mining
INDF.JK,Packaged Foods
INDO.JK,Lodging
INDR.JK,Textile Manufacturing
INDS.JK,Auto Parts
INDX.JK,Marine Shipping
INDY.JK,Thermal Coal
INET.JK,Telecom Services
INKP.JK,Paper & Paper Products
INOV.JK,Waste Management
INPC.JK,Banks - Regional
INPP.JK,Real Estate Services
INPS.JK,Trucking
INRU.JK,Paper & Paper Products
INTA.JK,Industrial Distribution
INTD.JK,Paper & Paper Products
INTP.JK,Building Materials
IPAC.JK,Real Estate Services
IPCC.JK,Integrated Freight & Logistics
IPCM.JK,Marine Shipping
IPOL.JK,Packaging & Containers
IPPE.JK,Packaged Foods
IPTV.JK,Entertainment
IRRA.JK,Medical Distribution
IRSX.JK,Software - Application
ISAP.JK,Metal Fabrication
ISAT.JK,Telecom Services
ISSP.JK,Steel
ITIC.JK,Tobacco
ITMA.JK,Other Industrial Metals & Mining
ITMG.JK,Thermal Coal
JARR.JK,Farm Products
JAST.JK,Telecom Services
JATI.JK,Information Technology Services
JAWA.JK,Farm Products
JAYA.JK,Trucking
JECC.JK,Electrical Equipment & Parts
JGLE.JK,Leisure
JIHD.JK,Lodging
JKON.JK,Conglomerates
JKSW.JK,
JMAS.JK,Insurance - Life
JPFA.JK,Farm Products
JRPT.JK,Real Estate - Development
JSKY.JK,Solar
JSMR.JK,Infrastructure Operations
JSPT.JK,Real Estate Services
JTPE.JK,Specialty Business Services
KAEF.JK,Medical Distribution
KARW.JK,Marine Shipping
KAYU.JK,Lumber & Wood Production
KBAG.JK,Residential Construction
KBLI.JK,Electrical Equipment & Parts
KBLM.JK,Electrical Equipment & Parts
KBLV.JK,Entertainment
KBRI.JK,
KDSI.JK,Packaging & Containers
KDTN.JK,Restaurants
KEEN.JK,Utilities - Independent Power Producers
KEJU.JK,Packaged Foods
KETR.JK,Communication Equipment
KIAS.JK,Building Products & Equipment
KICI.JK,"Furnishings, Fixtures & Appliances"
KIJA.JK,Real Estate - Development
KING.JK,Specialty Business Services
KINO.JK,Conglomerates
KIOS.JK,Software - Application
KJEN.JK,Integrated Freight & Logistics
KKES.JK,Specialty Chemicals
KKGI.JK,Thermal Coal
KLAS.JK,Marine Shipping
KLBF.JK,Drug Manufacturers - General
KLIN.JK,Home Improvement Retail
KMDS.JK,Food Distribution
KMTR.JK,Auto Parts
KOBX.JK,Farm & Heavy Construction Machinery
KOIN.JK,Building Products & Equipment
KONI.JK,Specialty Retail
KOPI.JK,Oil & Gas Refining & Marketing
KOTA.JK,Real Estate Services
KPAL.JK,Aerospace & Defense
KPAS.JK,Textile Manufacturing
KPIG.JK,Real Estate Services
KRAH.JK,
KRAS.JK,Steel
KREN.JK,Capital Markets
KRYA.JK,Engineering & Construction
KUAS.JK,Building Products & Equipment
LABA.JK,Steel
LAJU.JK,Integrated Freight & Logistics
LAND.JK,Real Estate Services
LAPD.JK,
LCGP.JK,
LCKM.JK,Telecom Services
LEAD.JK,Marine Shipping
LFLO.JK,"Furnishings, Fixtures & Appliances"
LIFE.JK,Insurance - Life
LINK.JK,Telecom Services
LION.JK,Business Equipment & Supplies
LMAS.JK,Electronics & Computer Distribution
LMAX.JK,Oil & Gas Refining & Marketing
LMPI.JK,"Furnishings, Fixtures & Appliances"
LMSH.JK,Metal Fabrication
LPCK.JK,Real Estate - Development
LPGI.JK,Insurance - Diversified
LPIN.JK,Auto Parts
LPKR.JK,Real Estate Services
LPLI.JK,Real Estate Services
LPPF.JK,Department Stores
LPPS.JK,Capital Markets
LRNA.JK,Railroads
LSIP.JK,Farm Products
LTLS.JK,Specialty Chemicals
LUCK.JK,Computer Hardware
LUCY.JK,Restaurants
MABA.JK,
MAGP.JK,Farm Products
MAHA.JK,Trucking
MAIN.JK,Packaged Foods
MAMI.JK,Lodging
MAPA.JK,Specialty Retail
MAPB.JK,Restaurants
MAPI.JK,Department Stores
MARI.JK,Broadcasting
MARK.JK,Medical Instruments & Supplies
MASA.JK,Auto Parts
MASB.JK,Banks - Regional
MAXI.JK,Packaged Foods
MAYA.JK,Banks - Regional
MBAP.JK,Thermal Coal
MBMA.JK,Other Precious Metals & Mining
MBSS.JK,Marine Shipping
MBTO.JK,Household & Personal Products
MCAS.JK,Business Equipment & Supplies
MCOL.JK,Thermal Coal
MCOR.JK,Banks - Regional
MDIA.JK,Broadcasting
MDKA.JK,Other Industrial Metals & Mining
MDKI.JK,Specialty Chemicals
MDLN.JK,Real Estate - Development
MDRN.JK,Business Equipment & Supplies
MEDC.JK,Oil & Gas E&P
MEDS.JK,Medical Instruments & Supplies
MEGA.JK,Banks - Regional
MENN.JK,Electrical Equipment & Parts
MERK.JK,Drug Manufacturers - Specialty & Generic
META.JK,Infrastructure Operations
MFIN.JK,Credit Services
MFMI.JK,Specialty Business Services
MGLV.JK,"Furnishings, Fixtures & Appliances"
MGNA.JK,Credit Services
MGRO.JK,Packaged Foods
MICE.JK,Household & Personal Products
MIDI.JK,Grocery Stores
MIKA.JK,Medical Care Facilities
MINA.JK,Lodging
MIRA.JK,Oil & Gas Equipment & Services
MITI.JK,Marine Shipping
MKNT.JK,Communication Equipment
MKPI.JK,Real Estate Services
MKTR.JK,Farm Products
MLBI.JK,Beverages - Brewers
MLIA.JK,Building Products & Equipment
MLPL.JK,Department Stores
MLPT.JK,Information Technology Services
MMIX.JK,Pharmaceutical Retailers
MMLP.JK,Real Estate Services
MNCN.JK,Advertising Agencies
MOLI.JK,Chemicals
MORA.JK,Telecom Services
MPMX.JK,Auto & Truck Dealerships
MPOW.JK,Utilities - Independent Power Producers
MPPA.JK,Department Stores
MPRO.JK,Real Estate - Development
MPXL.JK,Trucking
MRAT.JK,Household & Personal Products
MREI.JK,Insurance - Reinsurance
MSIE.JK,Real Estate Services
MSIN.JK,Entertainment
MSKY.JK,Entertainment
MTDL.JK,Electronics & Computer Distribution
MTEL.JK,Telecom Services
MTFN.JK,Oil & Gas E&P
MTLA.JK,Real Estate Services
MTMH.JK,Medical Care Facilities
MTPS.JK,Engineering & Construction
MTRA.JK,
MTSM.JK,Real Estate Services
MTWI.JK,Insurance - Diversified
MUTU.JK,Specialty Business Services
MYOH.JK,Thermal Coal
MYOR.JK,Packaged Foods
MYRX.JK,
MYTX.JK,Textile Manufacturing
NANO.JK,Medical Devices
NASA.JK,Real Estate Services
NASI.JK,Farm Products
NATO.JK,Lodging
NAYZ.JK,Packaged Foods
NCKL.JK,Other Industrial Metals & Mining
NELY.JK,Marine Shipping
NETV.JK,Broadcasting
NFCX.JK,Internet Content & Information
NICK.JK,Real Estate Services
NICL.JK,Other Industrial Metals & Mining
NIKL.JK,Metal Fabrication
NINE.JK,Information Technology Services
NIPS.JK,
NIRO.JK,Real Estate Services
NISP.JK,Banks - Regional
NOBU.JK,Banks - Regional
NPGF.JK,Agricultural Inputs
NRCA.JK,Engineering & Construction
NSSS.JK,Farm Products
NTBK.JK,Farm & Heavy Construction Machinery
NUSA.JK,
NZIA.JK,Real Estate - Development
OASA.JK,Utilities - Renewable
OBMD.JK,Specialty Chemicals
OCAP.JK,
OILS.JK,Packaged Foods
OKAS.JK,Specialty Chemicals
OLIV.JK,"Furnishings, Fixtures & Appliances"
OMED.JK,Medical Instruments & Supplies
OMRE.JK,Real Estate Services
OPMS.JK,Waste Management
PACK.JK,Packaging & Containers
PADA.JK,Staffing & Employment Services
PADI.JK,Asset Management
PALM.JK,Asset Management
PAMG.JK,Real Estate - Diversified
PANI.JK,Packaged Foods
PANR.JK,Travel Services
PANS.JK,Capital Markets
PBID.JK,Packaging & Containers
PBRX.JK,Apparel Manufacturing
PBSA.JK,Engineering & Construction
PCAR.JK,Packaged Foods
PDES.JK,Travel Services
PDPP.JK,Packaging & Containers
PEGE.JK,Capital Markets
PEHA.JK,Drug Manufacturers - Specialty & Generic
PEVE.JK,Pharmaceutical Retailers
PGAS.JK,Utilities - Regulated Gas
PGEO.JK,Utilities - Renewable
PGJO.JK,Travel Services
PGLI.JK,Lodging
PGUN.JK,Farm Products
PICO.JK,Packaging & Containers
PIPA.JK,Building Products & Equipment
PJAA.JK,Leisure
PKPK.JK,Engineering & Construction
PLAN.JK,Lodging
PLAS.JK,
PLIN.JK,Real Estate Services
PMJS.JK,Auto & Truck Dealerships
PMMP.JK,Packaged Foods
PNBN.JK,Banks - Regional
PNBS.JK,Banks - Regional
PNGO.JK,Farm Products
PNIN.JK,Insurance - Life
PNLF.JK,Insurance - Life
PNSE.JK,Resorts & Casinos
POLA.JK,Credit Services
POLI.JK,Real Estate - Development
POLL.JK,Real Estate - Development
POLU.JK,Apparel Manufacturing
POLY.JK,Specialty Chemicals
POOL.JK,
PORT.JK,Marine Shipping
POSA.JK,Real Estate Services
POWR.JK,Utilities - Independent Power Producers
PPGL.JK,Integrated Freight & Logistics
PPRE.JK,Engineering & Construction
PPRI.JK,Packaging & Containers
PPRO.JK,Real Estate - Development
PRAS.JK,Auto Parts
PRAY.JK,Medical Care Facilities
PRDA.JK,Diagnostics & Research
PRIM.JK,Medical Care Facilities
PSAB.JK,Gold
PSDN.JK,Packaged Foods
PSGO.JK,Farm Products
PSKT.JK,Lodging
PSSI.JK,Marine Shipping
PTBA.JK,Thermal Coal
PTDU.JK,Engineering & Construction
PTIS.JK,Marine Shipping
PTMP.JK,Specialty Industrial Machinery
PTPP.JK,Engineering & Construction
PTPW.JK,Engineering & Construction
PTRO.JK,Other Industrial Metals & Mining
PTSN.JK,Electronic Components
PTSP.JK,Restaurants
PUDP.JK,Real Estate Services
PURA.JK,Trucking
PURE.JK,Other Industrial Metals & Mining
PURI.JK,Real Estate - Development
PWON.JK,Real Estate - Diversified
PYFA.JK,Drug Manufacturers - Specialty & Generic
PZZA.JK,Restaurants
RAAM.JK,Entertainment
RAFI.JK,Restaurants
RAJA.JK,Utilities - Regulated Gas
RALS.JK,Department Stores
RANC.JK,Grocery Stores
RBMS.JK,Real Estate - Development
RCCC.JK,Trucking
RDTX.JK,Real Estate Services
REAL.JK,Real Estate - Development
RELF.JK,Real Estate - Development
RELI.JK,Capital Markets
RICY.JK,Apparel Manufacturing
RIGS.JK,Marine Shipping
RIMO.JK,
RISE.JK,Real Estate - Development
RMBA.JK,Tobacco
RMBA.JK,
RMKE.JK,Thermal Coal
RMKO.JK,Thermal Coal
ROCK.JK,Real Estate - Development
RODA.JK,Real Estate - Development
RONY.JK,Engineering & Construction
ROTI.JK,Packaged Foods
RSCH.JK,Medical Care Facilities
RSGK.JK,Medical Care Facilities
RUIS.JK,Oil & Gas Equipment & Services
RUNS.JK,Software - Application
SAFE.JK,Railroads
SAGE.JK,Real Estate - Development
SAME.JK,Medical Care Facilities
SAMF.JK,Agricultural Inputs
SAPX.JK,Integrated Freight & Logistics
SATU.JK,Real Estate - Development
SBAT.JK,Textile Manufacturing
SBMA.JK,Chemicals
SCCO.JK,Electrical Equipment & Parts
SCMA.JK,Broadcasting
SCNP.JK,Consumer Electronics
SCPI.JK,
SDMU.JK,Trucking
SDPC.JK,Medical Distribution
SDRA.JK,Banks - Regional
SEMA.JK,Specialty Industrial Machinery
SFAN.JK,Asset Management
SGER.JK,Thermal Coal
SGRO.JK,Farm Products
SHID.JK,Lodging
SHIP.JK,Oil & Gas Equipment & Services
SICO.JK,Oil & Gas Equipment & Services
SIDO.JK,Drug Manufacturers - Specialty & Generic
SILO.JK,Medical Care Facilities
SIMA.JK,
SIMP.JK,Packaged Foods
SINI.JK,Lumber & Wood Production
SIPD.JK,Farm Products
SKBM.JK,Packaged Foods
SKLT.JK,Packaged Foods
SKRN.JK,Rental & Leasing Services
SKYB.JK,
SLIS.JK,Electronics & Computer Distribution
SMAR.JK,Farm Products
SMBR.JK,Building Materials
SMCB.JK,Building Materials
SMDM.JK,Real Estate - Development
SMDR.JK,Marine Shipping
SMGR.JK,Building Materials
SMIL.JK,Rental & Leasing Services
SMKL.JK,Packaging & Containers
SMKM.JK,Engineering & Construction
SMMA.JK,Insurance - Diversified
SMMT.JK,Thermal Coal
SMRA.JK,Real Estate - Development
SMRU.JK,
SMSM.JK,Auto Parts
SNLK.JK,Lodging
SOCI.JK,Marine Shipping
SOFA.JK,"Furnishings, Fixtures & Appliances"
SOHO.JK,Medical Distribution
SONA.JK,Travel Services
SOSS.JK,Staffing & Employment Services
SOTS.JK,Lodging
SOUL.JK,Specialty Business Services
SPMA.JK,Paper & Paper Products
SPTO.JK,"Furnishings, Fixtures & Appliances"
SQMI.JK,Gold
SRAJ.JK,Medical Care Facilities
SRIL.JK,Textile Manufacturing
SRSN.JK,Chemicals
SRTG.JK,Asset Management
SSIA.JK,Engineering & Construction
SSMS.JK,Farm Products
SSTM.JK,Textile Manufacturing
STAA.JK,Farm Products
STAR.JK,Asset Management
STTP.JK,Packaged Foods
SUGI.JK,
SULI.JK,Lumber & Wood Production
SUNI.JK,Oil & Gas Equipment & Services
SUPR.JK,Communication Equipment
SURE.JK,Oil & Gas Integrated
SWAT.JK,Packaging & Containers
SWID.JK,Real Estate - Development
TALF.JK,Packaging & Containers
TAMA.JK,Real Estate - Development
TAMU.JK,Marine Shipping
TAPG.JK,Farm Products
TARA.JK,Real Estate - Diversified
TAXI.JK,Railroads
TAYS.JK,Packaged Foods
TBIG.JK,Telecom Services
TBLA.JK,Packaged Foods
TBMS.JK,Metal Fabrication
TCID.JK,Household & Personal Products
TCPI.JK,Marine Shipping
TDPM.JK,Specialty Chemicals
TEBE.JK,Infrastructure Operations
TECH.JK,Information Technology Services
TELE.JK,Telecom Services
TFAS.JK,Staffing & Employment Services
TFCO.JK,Textile Manufacturing
TGKA.JK,Food Distribution
TGRA.JK,Utilities - Renewable
TGUK.JK,Food Distribution
TIFA.JK,Credit Services
TINS.JK,Other Industrial Metals & Mining
TIRA.JK,Industrial Distribution
TIRT.JK,Lumber & Wood Production
TKIM.JK,Paper & Paper Products
TLDN.JK,Farm Products
TLKM.JK,Telecom Services
TMAS.JK,Marine Shipping
TMPO.JK,Publishing
TNCA.JK,Integrated Freight & Logistics
TOBA.JK,Thermal Coal
TOOL.JK,"Furnishings, Fixtures & Appliances"
TOPS.JK,Engineering & Construction
TOTL.JK,Engineering & Construction
TOTO.JK,Building Products & Equipment
TOWR.JK,Telecom Services
TOYS.JK,Leisure
TPIA.JK,Specialty Chemicals
TPMA.JK,Marine Shipping
TRAM.JK,
TRGU.JK,Packaged Foods
TRIL.JK,
TRIM.JK,Capital Markets
TRIN.JK,Real Estate - Development
TRIO.JK,
TRIS.JK,Apparel Manufacturing
TRJA.JK,Rental & Leasing Services
TRON.JK,Information Technology Services
TRST.JK,Packaging & Containers
TRUE.JK,Real Estate—Development
TRUE.JK,Real Estate - Development
TRUK.JK,Trucking
TRUS.JK,Credit Services
TSPC.JK,Drug Manufacturers - Specialty & Generic
TSPC.JK,Drug Manufacturers—Specialty & Generic
TUGU.JK,Insurance—Diversified
TUGU.JK,Insurance - Diversified
TYRE.JK,Auto Parts
UANG.JK,Leisure
UCID.JK,Household & Personal Products
UFOE.JK,Department Stores
ULTJ.JK,Packaged Foods
UNIC.JK,Chemicals
UNIQ.JK,Thermal Coal
UNIT.JK,Capital Markets
UNSP.JK,Farm Products
UNTR.JK,Other Industrial Metals & Mining
UNVR.JK,Household & Personal Products
URBN.JK,Real Estate—Development
URBN.JK,Real Estate - Development
UVCR.JK,Software - Application
UVCR.JK,Software—Application
VAST.JK,Engineering & Construction
