Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
"2023-01,180,427.7445830597505,4.3733868648423195,""['PNBN.JK', 'RAJA.JK']"",""[0.1, 0.9]"",""PNBN.JK: 0.10%, RAJA.JK: 0.90%"""
"2023-02,180,426.76187195208814,3.78244898918468,""['BSIM.JK', 'EURO.JK', 'PNBN.JK']"",""[0.0, 0.9, 0.1]"",""BSIM.JK: 0.00%, EURO.JK: 0.90%, PNBN.JK: 0.10%"""
"2023-03,180,763.2571214392804,7.398057395265875,""['BSIM.JK', 'SINI.JK']"",""[0.1, 0.9]"",""BSIM.JK: 0.10%, SINI.JK: 0.90%"""
"2023-04,180,661.935736677116,2.9774898953994913,""['BSIM.JK', 'CHIP.JK']"",""[0.1, 0.9]"",""BSIM.JK: 0.10%, CHIP.JK: 0.90%"""
"2023-05,180,756.2779275808937,3.3636392004406073,""['BSIM.JK', 'CHIP.JK']"",""[0.1, 0.9]"",""BSIM.JK: 0.10%, CHIP.JK: 0.90%"""
"2023-06,180,750.9128586302702,4.208658069288721,""['BSIM.JK', 'CHIP.JK', 'NISP.JK']"",""[0.1, 0.9, 0.0]"",""BSIM.JK: 0.10%, CHIP.JK: 0.90%, NISP.JK: 0.00%"""
"2023-07,180,674.3752980062874,4.317728570531005,""['CHIP.JK', 'NISP.JK']"",""[0.9, 0.1]"",""CHIP.JK: 0.90%, NISP.JK: 0.10%"""
"2023-08,180,722.4992318044337,4.460107205883071,""['BNGA.JK', 'CHIP.JK', 'NISP.JK']"",""[0.0, 0.9, 0.1]"",""BNGA.JK: 0.00%, CHIP.JK: 0.90%, NISP.JK: 0.10%"""
"2023-09,180,767.5690213601497,4.560835905212272,""['CHIP.JK', 'NISP.JK']"",""[0.9, 0.1]"",""CHIP.JK: 0.90%, NISP.JK: 0.10%"""
"2023-10,180,953.9976561872564,4.760176735487827,""['BNGA.JK', 'CHIP.JK', 'NISP.JK', 'NOBU.JK']"",""[0.0, 0.9, 0.1, 0.0]"",""BNGA.JK: 0.00%, CHIP.JK: 0.90%, NISP.JK: 0.10%, NOBU.JK: 0.00%"""
"2023-11,180,1689.4109256403658,5.771773367753886,""['BNGA.JK', 'CUAN.JK', 'NISP.JK']"",""[0.0, 0.9, 0.1]"",""BNGA.JK: 0.00%, CUAN.JK: 0.90%, NISP.JK: 0.10%"""
"2023-12,180,2814.9029658763493,5.924126210174744,""['CUAN.JK', 'NISP.JK']"",""[0.9, 0.1]"",""CUAN.JK: 0.90%, NISP.JK: 0.10%"""
