period,datapoints,assets,allocations,allocations_idr,pnl_percentage,pnl_idr,end_of_period_value
2021-01,30,AGRO.JK,0.1,10000000.0,-21.08,-2107843.14,7892156.859999999
2021-01,30,PTDU.JK,0.9,90000000.0,0.0,0.0,90000000.0
2021-02,30,BBHI.JK,0.1,9789215.69,119.86,11733173.42,21522389.11
2021-02,30,DCII.JK,0.9,88102941.17,42.57,37501543.47,125604484.64
2021-03,30,BANK.JK,1.0,147126873.75,39.47,58076397.53,205203271.28
2021-04,30,BANK.JK,0.1,20520327.13,29.06,5962510.15,26482837.28
2021-04,30,ZBRA.JK,0.9,184682944.15,91.67,169292698.8,353975642.95000005
2021-05,30,KONI.JK,0.9,342412632.21,-20.76,-71083128.71,271329503.5
2021-05,30,PNBS.JK,0.1,38045848.02,-24.2,-9208549.2,28837298.820000004
2021-06,30,BABP.JK,0.1,30016680.23,43.75,13132297.6,43148977.83
2021-06,30,BYAN.JK,0.23,69038364.53,-3.89,-2683470.0,66354894.53
2021-06,30,KONI.JK,0.07,21011676.16,-23.63,-4965087.86,16046588.3
2021-06,30,SAMF.JK,0.6,180100081.39,-50.89,-91659959.43,88440121.95999998
2021-07,30,BABP.JK,0.1,21399058.26,31.62,6765878.71,28164936.970000003
2021-07,30,BYAN.JK,0.18,38518304.87,5.88,2265782.64,40784087.51
2021-07,30,DCII.JK,0.72,154073219.49,0.0,0.0,154073219.49
2021-08,30,BOLA.JK,0.9,200720019.58,8.12,16308501.59,217028521.17000002
2021-08,30,BSIM.JK,0.1,22302224.4,3.37,750555.63,23052780.029999997
2021-09,30,BBYB.JK,0.1,24008130.12,-12.66,-3039003.81,20969126.310000002
2021-09,30,PEGE.JK,0.9,216073171.08,-16.29,-35202932.37,180870238.71
2021-10,30,AYLS.JK,0.9,181655428.52,-33.19,-60297390.14,121358038.38000001
2021-10,30,BBHI.JK,0.1,20183936.5,59.15,11939039.36,32122975.86
2021-11,30,BBHI.JK,0.1,15348101.42,16.95,2601373.12,17949474.54
2021-11,30,PANI.JK,0.9,138132912.82,-2.92,-4038974.06,134093938.75999999
2021-12,30,BNBA.JK,0.1,15204341.33,-7.69,-1169564.72,14034776.61
2021-12,30,TMAS.JK,0.9,136839071.97,53.08,72629968.97,209469040.94
2021-01,60,AGRO.JK,0.1,10000000.0,-21.08,-2107843.14,7892156.859999999
2021-01,60,PTDU.JK,0.9,90000000.0,0.0,0.0,90000000.0
2021-02,60,BBHI.JK,0.1,9789215.69,119.86,11733173.42,21522389.11
2021-02,60,TECH.JK,0.9,88102941.17,0.0,0.0,88102941.17
2021-03,60,BANK.JK,0.1,10962533.03,39.47,4327315.67,15289848.7
2021-03,60,DCII.JK,0.9,98662797.25,-13.91,-13719979.99,84942817.26
2021-04,60,BANK.JK,0.1,10023266.6,29.06,2912420.86,12935687.459999999
2021-04,60,DCII.JK,0.9,90209399.36,0.89,800083.36,91009482.72
2021-05,60,BANK.JK,0.1,10394517.02,-8.09,-841174.79,9553342.23
2021-05,60,ZBRA.JK,0.9,93550653.16,5.18,4847184.1,98397837.25999999
2021-06,60,BABP.JK,0.1,10795117.95,43.75,4722864.1,15517982.049999999
2021-06,60,ZBRA.JK,0.9,97156061.54,-8.42,-8176500.23,88979561.31
2021-07,60,BINA.JK,0.1,10449754.34,-6.73,-702898.27,9746856.07
2021-07,60,BYAN.JK,0.31,32394238.44,5.88,1905543.44,34299781.88
2021-07,60,MLPL.JK,0.59,61653550.58,-17.78,-10960631.21,50692919.37
2021-08,60,BABP.JK,0.1,9473955.73,0.45,42868.58,9516824.31
2021-08,60,TRUE.JK,0.9,85265601.59,-53.48,-45598560.85,39667040.74
2021-09,60,BBYB.JK,0.1,4918386.51,-12.66,-622580.57,4295805.9399999995
2021-09,60,PEGE.JK,0.9,44265478.54,-16.29,-7211791.45,37053687.089999996
2021-10,60,BBYB.JK,0.1,4134949.3,0.71,29535.35,4164484.65
