Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2021-01,60,543.6038961038962,8.344648250190327,"['AGRO.JK', 'PTDU.JK']","[0.1, 0.9]","AGRO.JK: 0.10%, PTDU.JK: 0.90%"
2021-02,60,1449.3597951344432,9.41029872848351,"['BBHI.JK', 'TECH.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, TECH.JK: 0.90%"
2021-03,60,2142.476875642343,9.221370408776366,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-04,60,1894.933196300103,9.791340948896773,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-05,60,1898.7142857142858,11.397920661570199,"['BANK.JK', 'ZBRA.JK']","[0.1, 0.9]","BANK.JK: 0.10%, ZBRA.JK: 0.90%"
2021-06,60,1268.9378950760572,10.17415211553293,"['BABP.JK', 'BMAS.JK', 'ZBRA.JK']","[0.1, 0.0, 0.9]","BABP.JK: 0.10%, BMAS.JK: 0.00%, ZBRA.JK: 0.90%"
2021-07,60,539.7651401504627,19.999997887164746,"['BINA.JK', 'BYAN.JK', 'MLPL.JK']","[0.1, 0.31, 0.59]","BINA.JK: 0.10%, BYAN.JK: 0.31%, MLPL.JK: 0.59%"
2021-08,60,554.4827586206897,10.350902434807493,"['BABP.JK', 'TRUE.JK']","[0.1, 0.9]","BABP.JK: 0.10%, TRUE.JK: 0.90%"
2021-09,60,1083.5030991163655,9.38117993160622,"['BBYB.JK', 'PEGE.JK']","[0.1, 0.9]","BBYB.JK: 0.10%, PEGE.JK: 0.90%"
2021-10,60,863.9514218009479,8.868723985013075,"['BBYB.JK', 'PEGE.JK']","[0.1, 0.9]","BBYB.JK: 0.10%, PEGE.JK: 0.90%"
2021-11,60,598.7237707485124,7.240823541561474,"['BBHI.JK', 'PANI.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, PANI.JK: 0.90%"
2021-12,60,454.32206682206686,7.740302930586084,"['BBHI.JK', 'PANI.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, PANI.JK: 0.90%"
