Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2021-01,180,1047.9591836734694,5.983163620554933,['BRIS.JK'],[1.0],BRIS.JK: 1.00%
2021-02,180,1253.4629768137622,5.390208893127027,"['BRIS.JK', 'DCII.JK']","[0.1, 0.9]","BRIS.JK: 0.10%, DCII.JK: 0.90%"
2021-03,180,2248.4848484848485,8.802564009336137,['BBHI.JK'],[1.0],BBHI.JK: 1.00%
2021-04,180,1894.933196300103,6.084960361487568,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-05,180,2360.431654676259,6.686719198274478,['BANK.JK'],[1.0],BANK.JK: 1.00%
2021-06,180,2485.9198355601234,6.336014149609663,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-07,180,10245.220966084276,6.964747217983182,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-08,180,10256.012332990751,6.995716947062901,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-09,180,8832.435765673175,7.205738241050362,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-10,180,6405.359986819704,7.256811867815055,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-11,180,1374.6178343949045,7.511164312776788,"['BANK.JK', 'ZBRA.JK']","[0.1, 0.9]","BANK.JK: 0.10%, ZBRA.JK: 0.90%"
2021-12,180,2581.3376722778953,8.504295823682755,"['BBYB.JK', 'BEBS.JK']","[0.1, 0.9]","BBYB.JK: 0.10%, BEBS.JK: 0.90%"
