Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2021-01,365,577.7710079497514,4.423131017025337,"['BRIS.JK', 'PTDU.JK']","[0.1, 0.9]","BRIS.JK: 0.10%, PTDU.JK: 0.90%"
2021-02,365,1199.2082616179002,4.554033137326645,"['BRIS.JK', 'DCII.JK']","[0.1, 0.9]","BRIS.JK: 0.10%, DCII.JK: 0.90%"
2021-03,365,2142.476875642343,4.785831002419797,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-04,365,1894.933196300103,4.776426274096728,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-05,365,2360.431654676259,5.073686083341235,['BANK.JK'],[1.0],BANK.JK: 1.00%
2021-06,365,2485.9198355601234,4.69696639231853,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-07,365,10245.220966084276,5.0916133798946746,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-08,365,10275.824175824177,5.2098517171141125,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2021-09,365,8832.435765673175,5.199787551009987,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-10,365,8172.776886035313,5.437221685964905,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2021-11,365,8860.993788819876,5.449660006946293,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2021-12,365,9900.0,9.133561854848951,['BBHI.JK'],[1.0],BBHI.JK: 1.00%
